title,district,city,region,lat,lon
1-й Бабьегородский пер.,Якиманка,Москва,Москва,55.734355,37.612929
1-й Басманный пер.,Басманный,Москва,Москва,55.769758,37.663962
1-й Казачий пер.,Якиманка,Москва,Москва,55.734022,37.61948
1-й Красногвардейский проезд,Пресненский,Москва,Москва,55.753577,37.545749
1-й Краснокурсантский проезд,Лефортово,Москва,Москва,55.75905,37.694163
1-й Краснокурсантский проезд · 1C,Лефортово,Москва,Москва,55.764973,37.701057
1-й Краснокурсантский проезд · 1D,Лефортово,Москва,Москва,55.764414,37.700316
1-й Магистральный проезд,Хорошёвский,Москва,Москва,55.7641,37.520756
1-й Магистральный тупик,Хорошёвский,Москва,Москва,55.76624,37.53398
1-й Магистральный тупик д.5,Хорошёвский,Москва,Москва,55.766644,37.529257
1-й Неопалимовский пер.,Хамовники,Москва,Москва,55.741348,37.584732
1-й Спасоналивковский пер.,Якиманка,Москва,Москва,55.732728,37.619866
1-й Стрелецкий проезд,Марьина Роща,Москва,Москва,55.797219,37.609042
1-й Троицкий пер. · 2D,Мещанский,Москва,Москва,55.777245,37.620739
1-й Электрозаводский пер.,Преображенское,Москва,Москва,55.787484,37.705974
1-я Дубровская,Южнопортовый,Москва,Москва,55.727958,37.6692
1-я Дубровская д.18,Южнопортовый,Москва,Москва,55.7219,37.673798
1-я Рыбинская,Сокольники,Москва,Москва,55.790936,37.656267
1-я Сокольническая,Сокольники,Москва,Москва,55.787576,37.679838
1-я Фрунзенская,Хамовники,Москва,Москва,55.728519,37.583926
1-я Фрунзенская,Хамовники,Москва,Москва,55.725874,37.590406
1-я Ямского Поля,Беговой,Москва,Москва,55.784531,37.585334
1812 года,Дорогомилово,Москва,Москва,55.74189,37.518832
2-й Боткинский проезд,Беговой,Москва,Москва,55.780388,37.559068
2-й Брянский пер.,Дорогомилово,Москва,Москва,55.745734,37.56442
2-й Красносельский пер.,Красносельский,Москва,Москва,55.782563,37.663212
2-й Крестовский пер. · 5A,Мещанский,Москва,Москва,55.790736,37.634477
2-й Лесной пер.,Тверской,Москва,Москва,55.781652,37.586256
2-й Обыденский пер.,Хамовники,Москва,Москва,55.742706,37.600523
2-й Раушский пер.,Замоскворечье,Москва,Москва,55.746281,37.634024
2-й Сетуньский проезд,Раменки,Москва,Москва,55.730965,37.536458
2-й Тружеников пер.,Хамовники,Москва,Москва,55.737018,37.568502
2-й Хорошёвский проезд,Хорошёвский,Москва,Москва,55.774565,37.540383
2-й Щемиловский пер.,Тверской,Москва,Москва,55.776328,37.607381
2-я Звенигородская,Пресненский,Москва,Москва,55.756362,37.555032
2-я Квесисская,Савёловский,Москва,Москва,55.796289,37.582261
2-я Магистральная,Пресненский,Москва,Москва,55.764445,37.533302
2-я Магистральная д.16,Пресненский,Москва,Москва,55.762733,37.530765
2-я Фрунзенская,Хамовники,Москва,Москва,55.724494,37.578452
2-я Фрунзенская,Хамовники,Москва,Москва,55.721419,37.585755
2-я Черногрязская,Пресненский,Москва,Москва,55.764907,37.54741
3-й Голутвинский пер.,Якиманка,Москва,Москва,55.737465,37.614964
3-й Кадашёвский пер.,Якиманка,Москва,Москва,55.742719,37.625007
3-й Люсиновский пер.,Замоскворечье,Москва,Москва,55.722699,37.622238
3-й Люсиновский пер.,Замоскворечье,Москва,Москва,55.722905,37.616887
3-й Павловский пер.,Даниловский,Москва,Москва,55.719433,37.627709
3-й Сыромятнический пер.,Таганский,Москва,Москва,55.7532,37.663816
3-й Хорошёвский проезд,Хорошёвский,Москва,Москва,55.774467,37.532878
3-я Магистральная,Пресненский,Москва,Москва,55.761454,37.52766
3-я Рыбинская,Сокольники,Москва,Москва,55.792227,37.659121
3-я Сокольническая,Сокольники,Москва,Москва,55.785624,37.684653
3-я Фрунзенская,Хамовники,Москва,Москва,55.722268,37.575431
3-я Фрунзенская,Хамовники,Москва,Москва,55.718978,37.582975
3-я Ямского Поля,Беговой,Москва,Москва,55.780522,37.583425
4-й Воробьёвский проезд,Гагаринский,Москва,Москва,55.706014,37.559652
4-й Стрелецкий проезд,Марьина Роща,Москва,Москва,55.797068,37.603011
4-й Сыромятнический пер.,Басманный,Москва,Москва,55.754782,37.671349
4-я Магистральная,Хорошёвский,Москва,Москва,55.768149,37.516139
5-й Котельнический пер.,Таганский,Москва,Москва,55.742284,37.645296
Абельмановская Застава,Таганский,Москва,Москва,55.738867,37.675418
Абрикосовский пер.,Хамовники,Москва,Москва,55.72937,37.565333
Академика Зелинского,Гагаринский,Москва,Москва,55.707289,37.572411
Академика Зелинского,Гагаринский,Москва,Москва,55.707844,37.57387
Академика Петровского,Якиманка,Москва,Москва,55.7207,37.599348
Академия внешней торговли,Раменки,Москва,Москва,55.726998,37.536452
Академия образования,Хамовники,Москва,Москва,55.733937,37.570509
Академия художеств,Хамовники,Москва,Москва,55.74042,37.590715
Александра Лукьянова,Басманный,Москва,Москва,55.766978,37.664372
Александра Солженицына,Таганский,Москва,Москва,55.744955,37.665057
Александровские казармы,Даниловский,Москва,Москва,55.715563,37.624568
Андроньевская пл.,Таганский,Москва,Москва,55.74665,37.671269
Анны Северьяновой,Пресненский,Москва,Москва,55.758567,37.553049
Аптекарский огород,Мещанский,Москва,Москва,55.77713,37.632547
Аптекарский пер.,Басманный,Москва,Москва,55.768545,37.679512
Аптекарский пер.,Басманный,Москва,Москва,55.768534,37.672181
Аптекарский переулок,Басманный,Москва,Москва,55.768695,37.680015
Арбатецкая,Таганский,Москва,Москва,55.727221,37.66284
Арбатские Ворота · 8A,Арбат,Москва,Москва,55.752896,37.602695
