title,extension,content,address,address_comment,postal,district,city,region,rating,rating_cnt,lat,lon,type
[KU:],​рамен-изакая-бар​,Суши-бары; Рестораны; Бары; Доставка еды,"Лесная улица, 20 ст3",13 отдел; 1 этаж,125196.0,Тверской,Москва,Москва,4.5,219.0,55.780116,37.592338,branch
[KU:],​рамен-изакая-бар​,Суши-бары; Рестораны; Бары; Доставка еды,"Пресненская набережная, 10 ст2",1 этаж,123112.0,Пресненский,Москва,Москва,4.7,562.0,55.747437,37.535234,branch
[KU:],​рамен-изакая-бар​,Суши-бары; Рестораны; Бары; Доставка еды,"Большая Грузинская улица, 69",1 этаж,123056.0,Тверской,Москва,Москва,4.7,536.0,55.773902,37.586437,branch
[KU:],​рамен-изакая-бар​,Суши-бары; Рестораны; Бары; Доставка еды,"Смоленская улица, 8",1 этаж,121099.0,Арбат,Москва,Москва,4.7,651.0,55.746154,37.580429,branch
#NeMsk,кафе-столовая,Кафе; Столовые,"Октябрьская улица, 72",1 этаж,127521.0,Марьина Роща,Москва,Москва,3.1,2.0,55.799043,37.612952,branch
#СибирьСибирь,ресторан,Рестораны; Доставка еды; Банкетные залы,"Смоленская улица, 8",1 этаж,121099.0,Арбат,Москва,Москва,4.9,374.0,55.746154,37.580429,branch
+39,траттория,Рестораны; Пиццерии,"Новая Басманная улица, 23а ст4",,107078.0,Красносельский,Москва,Москва,4.6,20.0,55.770037,37.661796,branch
+39,траттория-пиццерия,Кафе; Пиццерии; Доставка еды,"Столярный переулок, 3 к12",1 этаж,123022.0,Пресненский,Москва,Москва,4.5,30.0,55.764168,37.568814,branch
0.33,бельгийская брассери,Кафе; Бары; Доставка еды; Банкетные залы,"Садовая-Спасская улица, 17/2",,107078.0,Красносельский,Москва,Москва,4.7,82.0,55.769959,37.64684,branch
0.75 please,ресторан,Рестораны,"Смоленская улица, 8",20 этаж,121099.0,Арбат,Москва,Москва,4.8,35.0,55.746154,37.580429,branch
1-я Креветочная,кафе быстрого обслуживания,Бары; Быстрое питание; Доставка еды,"Лесная улица, 20 ст3",40 отдел; 1 этаж,125196.0,Тверской,Москва,Москва,4.8,48.0,55.780386,37.593288,branch
10 by Ten,паназиатский ресторан с авторскими коктейлями,Рестораны; Бары,"улица Маросейка, 15",1 этаж,101000.0,Басманный,Москва,Москва,4.8,42.0,55.757929,37.636973,branch
100 хинкали,кафе грузинской кухни,Кафе,"Новослободская улица, 18",1 этаж,127055.0,Тверской,Москва,Москва,4.2,52.0,55.782287,37.599473,branch
1147 Беговая,ресторан,Рестораны,"Беговая улица, 3 ст1",1 этаж,125284.0,Хорошёвский,Москва,Москва,,,55.776189,37.553754,branch
13 rules,бар-магазин,Бары; Разливное пиво,"улица Сущёвский Вал, 41",цокольный этаж,127018.0,Марьина Роща,Москва,Москва,4.8,16.0,55.793267,37.608355,branch
13°,миниатюрный винный бар,Рестораны; Бары,"4-я Тверская-Ямская улица, 13",1 этаж,125047.0,Тверской,Москва,Москва,4.7,32.0,55.772366,37.597104,branch
16 Тонн,ресторан-клуб с аутентичным дизайном,Рестораны; Бары; Доставка еды,"улица Арбат, 28/1 ст1",1 этаж,119002.0,Арбат,Москва,Москва,4.3,86.0,55.749583,37.591051,branch
16 Тонн,ресторан-клуб с аутентичным дизайном,Рестораны; Бары; Ночные клубы,"улица Пресненский Вал, 6 ст1",,123022.0,Пресненский,Москва,Москва,4.5,325.0,55.764328,37.564349,branch
17-я пристань,бар-тусовочная,Кафе; Бары,"Новослободская улица, 14/19 ст4",1 этаж,127030.0,Тверской,Москва,Москва,4.6,23.0,55.781783,37.60062,branch
1870 Abrau-Durso wine&food,ресторан черноморской кухни,Рестораны,"Плотников переулок, 24",1 этаж,119002.0,Арбат,Москва,Москва,4.6,18.0,55.748193,37.588097,branch
1929,бар,Бары; Ночные клубы,"Славянская площадь, 2/5/4 ст3",цокольный этаж,109012.0,Таганский,Москва,Москва,4.2,209.0,55.753223,37.634861,branch
2 типа,бар,Рестораны; Бары,"улица Бутырский Вал, 24/13 ст1",1 этаж,125047.0,Тверской,Москва,Москва,4.8,19.0,55.781108,37.586619,branch
2:2,паб,Кафе; Бары,"улица Сретенка, 16/2",цокольный этаж,107045.0,Красносельский,Москва,Москва,4.8,37.0,55.768386,37.632583,branch
2/15,кафе-бар,Кафе,"улица Маросейка, 2/15 ст1",3 этаж,101000.0,Басманный,Москва,Москва,4.7,7.0,55.75709,37.632266,branch
2007,бар,Бары; Кейтеринг,"Бакунинская улица, 4-6 ст1",цокольный этаж,105005.0,Басманный,Москва,Москва,5.0,11.0,55.77253,37.681337,branch
22 сантиметра,пиццерия,Пиццерии; Кафе; Доставка еды,"улица Покровка, 27 ст1",цокольный-1 этаж,101000.0,Басманный,Москва,Москва,4.5,16.0,55.759807,37.647885,branch
22 сантиметра,пиццерия,Пиццерии; Кафе,"улица Солянка, 1",1 этаж,109028.0,Басманный,Москва,Москва,4.5,330.0,55.754495,37.638122,branch
23.11,рестобар,Рестораны,"Бауманская улица, 54 ст1",1 этаж,105005.0,Басманный,Москва,Москва,2.5,3.0,55.769261,37.679239,branch
288,кафе,Рестораны,"Береговой проезд, 5а к1",1 этаж,121087.0,Филёвский парк,Москва,Москва,4.9,30.0,55.755104,37.509052,branch
288 Сити,ресторан,Рестораны; Банкетные залы,"1-й Красногвардейский проезд, 22 ст1",2 этаж,123317.0,Пресненский,Москва,Москва,4.9,41.0,55.751514,37.534817,branch
2G,бар,Бары,"Кожевническая улица, 4",1 этаж,115114.0,Замоскворечье,Москва,Москва,,,55.730107,37.642572,branch
317,городское кафе,Кафе; Бары; Доставка еды,"Глубокий переулок, 1/2",1 этаж,123100.0,Пресненский,Москва,Москва,4.5,81.0,55.754677,37.569883,branch
351,бар,Кафе; Бары,"улица Фридриха Энгельса, 3-5 ст1",1 этаж,105005.0,Басманный,Москва,Москва,3.9,27.0,55.771522,37.679859,branch
4`33,бар,Рестораны; Бары,"2-я Тверская-Ямская улица, 2",1 этаж,125047.0,Тверской,Москва,Москва,,,55.77072,37.596467,branch
46,бар,Кафе; Бары; Караоке-залы; Доставка еды,"Фрунзенская набережная, 46",-1 этаж,119270.0,Хамовники,Москва,Москва,4.8,15.0,55.718777,37.582061,branch
495,ресторан,Рестораны,"Олимпийский проспект, 18/1",1 этаж,129110.0,Мещанский,Москва,Москва,2.3,7.0,55.785007,37.62412,branch
6 am Bread Kitchen,кафе,Кафе,"Садовническая улица, 80",1 этаж,115035.0,Замоскворечье,Москва,Москва,4.3,56.0,55.737603,37.641381,branch
6 pm Bread Kitchen,ресторан,Рестораны,"улица Усачёва, 15а",1 этаж,119048.0,Хамовники,Москва,Москва,3.8,9.0,55.726271,37.570918,branch
69 pints,крафтовый паб,Бары,"Тверская улица, 5/6",1 этаж,125009.0,Тверской,Москва,Москва,4.5,36.0,55.758028,37.612056,branch
777,хинкальная,Кафе; Доставка еды,"Большая Пироговская улица, 53/55",1 этаж,119435.0,Хамовники,Москва,Москва,3.9,31.0,55.726701,37.561661,branch
8 Oz,ресторан,Кафе; Бары; Доставка еды,"улица Крымский Вал, 9 ст21",,119049.0,Якиманка,Москва,Москва,4.0,83.0,55.724212,37.595848,branch
8 градусов,пивной бар,Кафе; Бары; Доставка еды,"Страстной бульвар, 4 ст3",1 этаж,125375.0,Тверской,Москва,Москва,4.8,25.0,55.765145,37.608436,branch
8 шаров,бильярдный клуб,Бары; Бильярдные залы,"Большой Трёхсвятительский переулок, 2/1 ст8",,109028.0,Басманный,Москва,Москва,4.3,14.0,55.754715,37.643082,branch
