title,lat,lon,avg_price,capacity
#NeMsk,55.799043,37.612952,1000,40
+39,55.764168,37.568814,1700,35
0.33,55.769959,37.64684,1000,160
036 Kebab,55.754935,37.642889,1000,50
100 хинкали,55.782287,37.599473,1000,30
Кафе,55.758701,37.529618,400,30
17-я пристань,55.781783,37.60062,400,40
2-й этаж,55.766371,37.532351,450,100
2:2,55.768386,37.632583,500,50
2/15,55.75709,37.632266,1000,30
22 сантиметра,55.759807,37.647885,2000,80
22 сантиметра,55.754495,37.638122,1100,130
22 чувства,55.750289,37.690046,,
288,55.755104,37.509052,2500,
317,55.754677,37.569883,1350,80
351,55.771522,37.679859,1500,70
46,55.718777,37.582061,1450,60
6 am Bread Kitchen,55.737603,37.641381,600,24
777,55.726701,37.561661,2000,45
8 Oz,55.724212,37.595848,2000,60
8 градусов,55.765145,37.608436,450,60
8bitpizza,55.788214,37.58285,500,65
Aaark,55.761668,37.649629,1500,40
Abc,55.778635,37.588487,,
Akbar,55.794808,37.578336,,
Akvarel Stoleshnikov,55.76257,37.614684,2000,24
Ami Chaise,55.775445,37.672226,1550,36
Andy`s Friends,55.76358,37.642452,2500,65
Angel cakes,55.751373,37.535295,1200,50
Angel cakes,55.76981,37.590926,,
Angel cakes,55.763812,37.59573,1500,50
Ankara Kebab,55.749092,37.53943,975,35
Antalya,55.793785,37.590257,700,36
Norme,55.760813,37.548949,1000,60
Aqua cafe,55.712523,37.559273,1600,30
Aroma,55.766416,37.589145,1000,
Art lunch,55.736579,37.596233,,
Art lunch,55.782889,37.71578,450,
Art lunch,55.725504,37.64309,400,
Art lunch,55.75789,37.572594,500,20
Babes,55.76738,37.607471,2000,36
Balance,55.729707,37.570652,1000,20
Balance Bar,55.758041,37.676897,,
Banksy,55.730835,37.610249,1600,32
Bar24,55.754352,37.55773,1500,60
Bazaar Kebab,55.771009,37.620473,650,
BBQ Kitchen,55.789698,37.678705,1000,60
BBQ Kitchen,55.787102,37.70929,1000,62
Beauty Pub,55.774601,37.642236,1000,80
Beer Happens,55.770512,37.63334,1700,50
Beer Harbor,55.759945,37.646972,950,90
Beer&Balls,55.753007,37.611113,1800,
Beer&food,55.761086,37.624031,1000,52
Beersach,55.728855,37.646977,1150,40
Beluga Caviar,55.755001,37.621522,1800,32
Betters,55.734792,37.588482,,
Beverly hills diner,55.758219,37.624573,1200,40
Beyoglu,55.751475,37.597617,850,30
Bez Tarelok,55.742878,37.653565,,
Bez Tarelok,55.761527,37.632688,,
Bez Tarelok,55.751526,37.534283,,
Bez Tarelok,55.758964,37.643387,,
Bez Tarelok,55.757559,37.582718,,
Bez Tarelok,55.727557,37.567383,,
BH,55.777083,37.656744,400,32
Bigati Bar,55.763775,37.657523,1600,48
Bijou,55.773971,37.584743,2000,50
Black grill house,55.721958,37.610665,600,20
Black hat bar,55.772977,37.610634,1650,72
Black Market,55.730984,37.576977,2000,100
Blanc de blancs cafe,55.721777,37.621716,1650,50
Blar,55.725898,37.572709,2500,20
Blau,55.747084,37.627896,2000,40
Bloom coffee & more,55.777505,37.541047,650,21
Blush,55.770423,37.63425,,60
Board&вилка,55.708218,37.544968,1200,
Bon app cafe,55.759153,37.624797,1700,120
Boston,55.746908,37.679502,1500,115
Breaddy,55.753911,37.599056,700,
Break fastory,55.771658,37.579217,450,35
Breakfast,55.757911,37.597318,2000,40
bro cafe,55.722146,37.653897,500,
Bro&N,55.760122,37.614341,2000,150
Brooms,55.775433,37.584197,1400,100
Buba by sumosan,55.735618,37.584643,1150,55
Buffet,55.742178,37.655564,1200,40
Burger Play,55.75318,37.666692,400,30
Busby,55.755455,37.600521,1500,60
Buta house,55.741704,37.663973,1000,30
by Kizin,55.7443,37.67893,800,
Cafe 2. 3. А,55.746407,37.546474,,30
Cafeteria_Русский Авангъардъ,55.736354,37.663216,1000,14
Caffe Mandy`s,55.759894,37.646723,2000,65
Caffeterria,55.777482,37.649174,500,20
Caffetteria,55.743478,37.562762,750,34
California diner,55.750529,37.59538,1250,150
Cantina city,55.785984,37.638929,400,
Cantina city,55.722069,37.638551,500,80
Capito,55.781199,37.582993,2000,110
Capo,55.759762,37.615859,3500,120
Casa Leone,55.756563,37.632467,1700,40
Cazaban,55.730098,37.624082,,
Centrale Bistro,55.759031,37.605773,,
Chang,55.762081,37.635223,1500,
Chang,55.754193,37.637363,,
Cheese&macaroni,55.744556,37.629853,800,
Chere Maman,55.770816,37.62551,,
Chiho,55.752893,37.669423,,
Chiho,55.743874,37.628142,650,45
Chiho,55.770884,37.632297,1000,40
Cider,55.745627,37.626578,1300,20
City friends,55.747329,37.538798,1500,30
Coda,55.759922,37.631357,,
Coffee inn,55.747695,37.627621,1150,
Coffee Way,55.793534,37.610838,300,4
Colin McDaniel,55.730473,37.633661,,
Com 1989,55.742555,37.602015,,
Com 1989,55.768263,37.644684,1200,28
Com 1989,55.728992,37.618017,1200,
Com 1989,55.801283,37.636684,1200,40
Com 1989,55.721519,37.635403,1200,50
Comedy Hall,55.728164,37.645939,1200,200
Connolly Station,55.762239,37.612715,3000,450
Conversation,55.738629,37.59589,1800,60
Conversation,55.757391,37.599305,2000,45
Copen 57,55.764379,37.596287,1400,
Correa`s,55.767605,37.579474,1650,30
Couture,55.758969,37.656291,250,
Crafter Bar,55.76511,37.602407,1350,60
Cross keys Pub,55.767163,37.606226,2500,150
Curry,55.746359,37.562067,800,34
Curry,55.7716,37.682893,550,
Curry,55.774339,37.58506,1500,30
Curry,55.762289,37.564254,550,24
Curry,55.728682,37.624125,800,24
Curry,55.749164,37.589904,1400,50
Cvc,55.762308,37.64238,1000,50
Dai viet,55.748352,37.541051,,
Dai viet,55.758739,37.552824,600,
Dark Patrick`s Pub,55.759979,37.631638,1250,70
Dark Side шаурма&гриль,55.786202,37.585958,550,40
Dark Side шаурма&гриль,55.736727,37.694526,550,10
Davno,55.763299,37.596951,900,50
Defaqto,55.766215,37.63149,1700,200
Delicatessen,55.772628,37.610912,1500,60
Dell`Arte,55.740659,37.622853,1450,43
Delulu,55.761795,37.624061,1500,69
Demokrat,55.774076,37.63979,1300,30
Demokrat,55.734023,37.636556,1000,15
