title,extension,content,address,address_comment,postal,district,city,region,rating,rating_cnt,lat,lon,type
[R]Cafe,кофейня,Кофейни,"1-я Тверская-Ямская улица, 2 ст1",,127006.0,Тверской,Москва,Москва,,,55.769793,37.596869,branch
#coffeepie,кофейня,Кофейни; Кондитерские изделия,"Наличная улица, 3",1 этаж,111020.0,Лефортово,Москва,Москва,3.4,34.0,55.764633,37.704269,branch
#Воблакевкуса,кафе быстрого питания,Кофейни,"улица Сергия Радонежского, 9 ст1",1 этаж,105120.0,Таганский,Москва,Москва,3.9,7.0,55.747234,37.675259,branch
1554,кофейня,Кофейни,"Новослободская улица, 50/1 ст1",1 этаж,127055.0,Тверской,Москва,Москва,3.9,23.0,55.786577,37.595108,branch
18 грамм,кофейня,Кофейни,"Шелепихинская набережная, 34 к2",1 этаж; лавка Редиска,123290.0,Хорошёво-Мнёвники,Москва,Москва,5.0,3.0,55.7627,37.509539,branch
1826,кофейня,Кофейни,"Дубининская улица, 70",4 этаж,115054.0,Даниловский,Москва,Москва,1.2,2.0,55.721121,37.635232,branch
2 bulki,пекарня,Кофейни; Пекарни,"Гжельский переулок, 14",,105120.0,Таганский,Москва,Москва,4.8,18.0,55.747903,37.677319,branch
2/7,кофейня,Кофейни,"Чистопрудный бульвар, 7/2",1 этаж,101000.0,Басманный,Москва,Москва,5.0,1.0,55.763494,37.642986,branch
2046,кофейня,Кофейни; Доставка еды,"Смоленский бульвар, 7/9",1 этаж,119121.0,Хамовники,Москва,Москва,4.6,53.0,55.740796,37.583811,branch
2morrow,кофейня,Кофейни; Продажа кофе,"Бауманская улица, 11 ст10",8 помещение,105005.0,Басманный,Москва,Москва,5.0,7.0,55.776357,37.677268,branch
302-бис,буфет,Кофейни,"Большая Садовая улица, 10",2 этаж,123001.0,Пресненский,Москва,Москва,4.8,2.0,55.767184,37.59363,branch
4 Элемента Кофе,кофейня,Кофейни,"Николоямская улица, 1",1 этаж,109240.0,Таганский,Москва,Москва,4.9,61.0,55.748559,37.648311,branch
9 Bar Coffee,кофейня,Кофейни,"Дербеневская набережная, 11 к В",Б блок; 1 этаж,115114.0,Даниловский,Москва,Москва,4.4,3.0,55.721119,37.652405,branch
9 Bar Coffee,кофейня,Кофейни,"Космодамианская набережная, 52 ст1",1 этаж,115035.0,Замоскворечье,Москва,Москва,4.1,10.0,55.732209,37.647067,branch
9 Bar Coffee,кофейня,Кофейни; Кулинарии; Продажа кофе,"Боровая улица, 10 к1",1 этаж,111020.0,Лефортово,Москва,Москва,4.8,13.0,55.771523,37.713882,branch
