title,extension,content,address,address_comment,postal,district,city,region,rating,rating_cnt,lat,lon,type
32 жемчужины,стоматологический кабинет,Частные стоматологии,"Нижний Сусальный переулок, 5 ст23",28 офис; 2 этаж,105064.0,Басманный,Москва,Москва,5.0,2.0,55.761224,37.664972,branch
32 жемчужины,центр стоматологии,Частные стоматологии,"улица Сокольнический Вал, 50 к2",1 этаж,107113.0,Сокольники,Москва,Москва,4.4,10.0,55.791129,37.67606,branch
32 карата,стоматологическая клиника,Частные стоматологии,"Большая Филёвская улица, 3 к4",4 помещение; 1 этаж,121087.0,Филёвский парк,Москва,Москва,5.0,21.0,55.747639,37.518419,branch
77,стоматология,Частные стоматологии,"улица Климашкина, 22",1 этаж,123557.0,Пресненский,Москва,Москва,4.7,15.0,55.768052,37.567404,branch
7R,стоматологическая клиника,Частные стоматологии,"Семёновская набережная, 2/1 ст2",1 этаж; рядом с супермаркетом Пятёрочка,105094.0,Басманный,Москва,Москва,5.0,2.0,55.77646,37.706021,branch
A medclinic,медицинский центр,Частные стоматологии; Медицинская диагностика; Гинеколог; Детские врачи; Остеопат; Медицинские анализы; Терапевт; Гастроэнтеролог; Травматолог-ортопед; Кардиолог; Дерматолог; Невролог; Офтальмолог; Массажист; Психолог; Эндокринолог; Аллерголог-иммунолог; Многопрофильные медицинские центры,"3-й Монетчиковский переулок, 16 ст1",1 этаж,115054.0,Замоскворечье,Москва,Москва,4.2,6.0,55.731041,37.62936,branch
A medclinic,медицинский центр,Частные стоматологии; Медицинская диагностика; Гинеколог; Детские врачи; Остеопат; Медицинские анализы; Терапевт; Гастроэнтеролог; Травматолог-ортопед; Кардиолог; Дерматолог; Невролог; ЛОР (отоларинголог); Офтальмолог; Массажист; Психолог; Эндокринолог; Аллерголог-иммунолог; Многопрофильные медицинские центры,"проспект Мира, 102 ст23",1 этаж,129626.0,Алексеевский,Москва,Москва,3.8,10.0,55.800924,37.637217,branch
A.g.a.e.m dental,стоматологическая клиника,Частные стоматологии; Зуботехнические лаборатории,"Колокольников переулок, 2/6",4 этаж,107045.0,Мещанский,Москва,Москва,,,55.767911,37.624345,branch
Ab,стоматологическая клиника,Частные стоматологии; Частные детские стоматологии,"Мантулинская улица, 9 к1",1 этаж,123100.0,Пресненский,Москва,Москва,,,55.754732,37.545096,branch
ABC-медицина,медицинский центр,Частные стоматологии; Многопрофильные медицинские центры; ЛОР (отоларинголог); Гинеколог; Уролог; Медицинская диагностика; Терапевт; Медицинские анализы; Гастроэнтеролог; Проктолог; Эндокринолог; Аллерголог-иммунолог; Ведение беременности; Физиотерапевт; Массажист; Кардиолог; Дерматолог; Невролог; Офтальмолог; Хирург; Детские врачи; Косметолог; Мануальный терапевт; Травматолог-ортопед; Психотерапевт; Пульмонолог; Рефлексотерапевт; Онколог,"улица 1905 года, 17",1 этаж,123022.0,Пресненский,Москва,Москва,4.7,40.0,55.766157,37.559275,branch
ABC-медицина,медицинский центр,Частные стоматологии; Многопрофильные медицинские центры; ЛОР (отоларинголог); Гинеколог; Уролог; Медицинская диагностика; Терапевт; Медицинские анализы; Гастроэнтеролог; Проктолог; Эндокринолог; Аллерголог-иммунолог; Ведение беременности; Физиотерапевт; Массажист; Кардиолог; Дерматолог; Невролог; Офтальмолог; Хирург; Процедурный кабинет; Логопед; Детские врачи; Маммолог; Флеболог,"Плетешковский переулок, 4",1 этаж,105005.0,Басманный,Москва,Москва,4.4,40.0,55.771226,37.675189,branch
Дантистофф,сеть стоматологических центров,Частные стоматологии,"проспект Мира, 53 ст1",1 этаж,129110.0,Мещанский,Москва,Москва,4.9,323.0,55.784805,37.634236,branch
ABC-медицина,медицинский центр,Частные стоматологии; Многопрофильные медицинские центры; ЛОР (отоларинголог); Гинеколог; Уролог; Медицинская диагностика; Терапевт; Медицинские анализы; Гастроэнтеролог; Эндокринолог; Аллерголог-иммунолог; Физиотерапевт; Массажист; Кардиолог; Мануальный терапевт; Дерматолог; Невролог; Офтальмолог; Хирург; Процедурный кабинет; Травматолог-ортопед; Психотерапевт; Рефлексотерапевт,"улица Льва Толстого, 10 ст1",1 этаж,119021.0,Хамовники,Москва,Москва,4.4,66.0,55.732536,37.589561,branch
Adс,стоматологическая клиника,Частные стоматологии,"Динамовская улица, 9 ст1",1 этаж,109044.0,Таганский,Москва,Москва,5.0,338.0,55.731799,37.660984,branch
AestheticA,стоматологическая клиника,Частные стоматологии,"Подсосенский переулок, 3",1 этаж,101000.0,Басманный,Москва,Москва,4.8,19.0,55.758824,37.651108,branch
Afident,​стоматологическая клиника,Частные стоматологии,"Краснопрудная улица, 26",1 этаж,107140.0,Красносельский,Москва,Москва,5.0,30.0,55.779772,37.667346,branch
AG-Smile,стоматологический центр,Частные стоматологии,"Новая Басманная улица, 18 ст1",1 этаж,107078.0,Басманный,Москва,Москва,5.0,142.0,55.769438,37.660843,branch
Alba Apex,стоматологическая клиника,Частные стоматологии,"улица Климашкина, 5",1 этаж,123557.0,Пресненский,Москва,Москва,5.0,6.0,55.766968,37.574948,branch
All smiles,стоматологическая клиника,Частные стоматологии,"Стремянный переулок, 26",2 этаж,115054.0,Замоскворечье,Москва,Москва,5.0,589.0,55.727646,37.630504,branch
Allurance dental clinic,стоматологическая клиника,Частные стоматологии,"Зоологическая улица, 22",1 этаж,123242.0,Пресненский,Москва,Москва,,,55.766165,37.582538,branch
AllWhite,стоматологическая клиника,Частные стоматологии,"проспект Мира, 102 ст31",1 этаж,129626.0,Алексеевский,Москва,Москва,5.0,8.0,55.800626,37.639148,branch
Altameta,стоматологическая клиника,Частные стоматологии,"Грохольский переулок, 30 к1",1 этаж,129090.0,Красносельский,Москва,Москва,4.9,2.0,55.77671,37.640577,branch
American Russian Dental Center,стоматологическая клиника,Частные стоматологии,"Садовая-Кудринская улица, 21а",1 этаж,123001.0,Пресненский,Москва,Москва,5.0,51.0,55.765133,37.589064,branch
Ami clinic,стоматологический центр,Частные стоматологии,"Таганская улица, 26",1 этаж,109147.0,Таганский,Москва,Москва,5.0,139.0,55.739918,37.662504,branch
AmniDent,стоматология,Частные стоматологии; Зуботехнические лаборатории; Челюстно-лицевой хирург; Частные детские стоматологии,"Волков переулок, 21",1 этаж,123242.0,Пресненский,Москва,Москва,5.0,40.0,55.764958,37.573779,branch
Apico. pro,стоматологический центр,Частные стоматологии,"Трубниковский переулок, 13 ст1",2 этаж,121069.0,Арбат,Москва,Москва,4.9,69.0,55.753495,37.586543,branch
Art dent club,стоматологическая клиника,Частные стоматологии; Челюстно-лицевой хирург,"4-я Тверская-Ямская улица, 2/11 ст1",1 этаж,125047.0,Тверской,Москва,Москва,5.0,1.0,55.77174,37.599245,branch
