title,extension,content,address,address_comment,postal,district,city,region,rating,rating_cnt,lat,lon,type
Юсуповская больница,,Больницы; Многопрофильные медицинские центры; Медицинская диагностика; Невролог; Онколог; Реабилитационные центры; Эпилептолог; Массажист; Медицинские анализы; Уролог; Гинеколог; Гастроэнтеролог; Травматолог-ортопед; Ведение беременности; Дерматолог; Кардиолог; Маммолог; Проктолог; Ревматолог; Терапевт; Физиотерапевт; Хирург; Пульмонолог; Сомнолог; Процедурный кабинет; Занятия ЛФК; Мануальный терапевт; Логопед; Психотерапевт; Рефлексотерапевт,"Нагорная улица, 17 к6",,117186.0,Котловка,Москва,Москва,4.9,339.0,55.677502,37.60771,branch
РЖД-Медицина,стационар,Больницы; Многопрофильные медицинские центры; Медицинская диагностика; Травматолог-ортопед; Пластическая хирургия; Гематолог; Кардиолог; Маммолог; Невролог; Онколог; Терапевт; Уролог; Хирург; Эндокринолог; Процедурный кабинет; Нефролог; Пульмонолог; Флеболог,"Будайская улица, 2 к4",4 этаж,129128.0,Ростокино,Москва,Москва,5.0,38.0,55.8315,37.666487,branch
Центральная клиническая больница РЖД-Медицина,,,,,,,Москва,Москва,,,55.832453,37.668284,adm_div
GMS Clinic Садовническая,медицинский центр,Больницы; Многопрофильные медицинские центры; Медицинская диагностика; Ведение беременности; Гастроэнтеролог; Гематолог; Гинеколог; Дерматолог; Кардиолог; Маммолог; Невролог; Онколог; Офтальмолог; Психолог; Терапевт; Уролог; Физиотерапевт; Хирург; Эндокринолог; Мануальный терапевт; Центры планирования семьи; Андролог; Гемостазиолог; Диетолог; Генетик; Занятия ЛФК; Массажист; Психотерапевт; Психиатр; Реабилитационные центры; Проктолог; Пластическая хирургия,"Садовническая улица, 27 ст8",,115035.0,Замоскворечье,Москва,Москва,4.9,93.0,55.7466,37.635392,branch
Научно-исследовательский институт скорой помощи им. Н.В. Склифосовского,отделение реанимации и интенсивной терапии для больных после трансплантации,Больницы; Интересные здания,"Большая Сухаревская площадь, 3 ст1",,129090.0,Мещанский,Москва,Москва,4.6,10.0,55.773129,37.636071,branch
Научно-исследовательский институт скорой помощи им. Н.В. Склифосовского,приемное отделение,Больницы,"Большая Сухаревская площадь, 3 ст21",Б блок; 1 этаж,129090.0,Мещанский,Москва,Москва,3.7,24.0,55.776459,37.637324,branch
Городская клиническая больница им. С.П. Боткина,Офтальмологическая клиника,Больницы,"2-й Боткинский проезд, 5 к19",1 этаж,125284.0,Беговой,Москва,Москва,3.2,23.0,55.778839,37.550551,branch
Медси,сеть медицинских центров,Больницы; Многопрофильные медицинские центры; Медицинская диагностика; Терапевт; Офтальмолог; Невролог; Кардиолог; Уролог; Частные стоматологии; Детские врачи; ЛОР (отоларинголог); Гастроэнтеролог; Аллерголог-иммунолог; Дерматолог; Травматолог-ортопед; Маммолог; Пульмонолог; Эндокринолог; Физиотерапевт; Гинеколог; Ревматолог; Проктолог; Психотерапевт; Психолог; Массажист; Косметолог; Сомнолог; Гепатолог; Пластическая хирургия; Нефролог; Онколог; Флеболог; Хирург; Вакцинация; Медицинские комиссии; Ведение беременности; Инфекционист; Нейрохирург; Психиатр; Нейропсихолог; Челюстно-лицевой хирург; Сексолог; Диетолог; Частные детские стоматологии; Логопед; Медицинские анализы; Трихолог; Мануальный терапевт; Фониатр; Генетик; Остеопат; Эпиляция; Сурдолог; Андролог,"улица Красная Пресня, 16",,123242.0,Пресненский,Москва,Москва,4.8,657.0,55.762028,37.571615,branch
Морозовская детская городская клиническая больница,отделение офтальмологии,Больницы,"4-й Добрынинский переулок, 1/9 ст1",,119049.0,Замоскворечье,Москва,Москва,2.6,20.0,55.724306,37.617224,branch
Медси,сеть медицинских центров,Больницы; Многопрофильные медицинские центры; Медицинская диагностика; Гинеколог; Кардиолог; Офтальмолог; Терапевт; Частные стоматологии; Дерматолог; Вакцинация; Хирург; Гастроэнтеролог; Невролог; Психотерапевт; Травматолог-ортопед; Пульмонолог; Косметолог; Проктолог; Онколог; Ревматолог; Медицинские комиссии; Физиотерапевт; ЛОР (отоларинголог); Аллерголог-иммунолог; Ведение беременности; Процедурный кабинет; Эндокринолог; Уролог; Гематолог; Генетик; Медицинские анализы; Рефлексотерапевт; Мануальный терапевт; Диетолог; Флеболог; Психолог; Андролог; Гепатолог; Маммолог; Трихолог,"улица Солянка, 12 ст1",1-7 этаж,109240.0,Таганский,Москва,Москва,4.8,402.0,55.751829,37.638182,branch
Московский многопрофильный научно-клинический центр им. С.П. Боткина,консультативно-диагностический центр,Больницы; Интересные здания,"2-й Боткинский проезд, 5 к22",2 этаж,125284.0,Беговой,Москва,Москва,4.1,17.0,55.781518,37.549651,branch
Национальный медицинский исследовательский центр нейрохирургии им. академика Н.Н. Бурденко,хирургический корпус,Больницы,"4-я Тверская-Ямская улица, 16",,125047.0,Тверской,Москва,Москва,4.1,35.0,55.773701,37.595756,branch
Московский научно-исследовательский онкологический институт им. П.А. Герцена,,Больницы; Интересные здания,"2-й Боткинский проезд, 3",,125284.0,Беговой,Москва,Москва,3.1,30.0,55.779104,37.554725,branch
Городская клиническая больница №1 им. Н.И. Пирогова,приемное отделение психиатрии,Больницы; Интересные здания,"Ленинский проспект, 10 к5",1 этаж,119049.0,Якиманка,Москва,Москва,3.9,31.0,55.721158,37.595473,branch
