id,building_id,address,lat,lon,building_floors,material,accessible_entrance,temporary_closed,created_at,updated_at,hours_per_day,branch_count,branches_in_moll,country,region,district_area,city,living_area,title,content,extension,rating,rating_cnt,parking,free_parking,payed_parking,nearest_station,nearest_station_type,nearest_station_d,count_stations,all_stations,district
70000001027586633_434333444df5eA8d9J7H1J2J1GIIGHG332443355ed-9863043841ABI13789685-70B004dB995J28A376324795ABI5HJIifB6fchd6585G4G1732000014H3J2H3AG4969C27,4504235295632719,"улица Мира, 32/2",55.920304,37.721039,4.0,Железобетон,"Пандус, Подъёмник, Широкий лифт, Туалет для маломобильных людей, Автоматическая дверь, Доступный вход для людей с инвалидностью",,,2025-08-29,12.0,1,96.0,Россия,Московская область,Мытищи городской округ,Мытищи,17-й м-н,4Daily,Торгово-развлекательные центры,торговый центр,4.6,50.0,504,4,500,17-й микрорайон,"['bus', 'shuttle_bus']",170.0,1,"{'17-й микрорайон': {'distance': 170, 'comment': None, 'route_types': ['bus', 'shuttle_bus']}}",
70000001043474405_434333444df5eA8d9J7H1J2J1GIIGHG432443355ed-9863043841ABI15378462-70B004dB995J28A376324795ABI5HJIifB6fchd6585G4G1732000016H4J3H3AG4969C24,70030076178860228,"Торговый комплекс Аутлет Москоу, 1 к4",55.800625,37.281855,2.0,Железобетон,Пандус,,2020-06-18,2026-01-26,12.0,1,21.0,Россия,Московская область,Красногорск городской округ,,,Arkhangelskoye outlet,"Торгово-развлекательные центры,Торговые центры",торговый центр,4.8,22.0,351,351,0,Аутлет,['shuttle_bus'],220.0,1,"{'Аутлет': {'distance': 220, 'comment': None, 'route_types': ['shuttle_bus']}}",
70030076215586453,,,55.801302,37.28195,,,,,,,,,,Россия,Москва,Красногорск городской округ,Москва,,,,,,,0,0,0,,,,0,{},
70000001021200625_434333444df5eA8d9J7H1J2J1GIIGHG332443355ed-9863043841ABI13151084-70B004dB995J28A376324795ABI5HJIifB6fchd6585G4G1732000016H5J2H3AG4969C87,4504235283130537,"Вернадского проспект, 86а",55.663019,37.481034,5.0,Железобетон,"Туалет для маломобильных людей, Автоматическая дверь, Доступный вход для людей с инвалидностью",,2015-12-23,2026-03-02,12.0,1,284.0,Россия,Москва,,Москва,,Avenue southwest,Торгово-развлекательные центры,,4.4,252.0,751,1,750,Юго-Западная,['metro'],80.0,2,"{'Юго-Западная': {'distance': 80, 'comment': 'Сокольническая линия', 'route_types': ['metro']}, 'Тропарёво': {'distance': 2000, 'comment': 'Сокольническая линия', 'route_types': ['metro']}}",Тропарёво-Никулино
70000001017816199_434333444df5eA8d9J7H1J2J1GIIGHG332443355ed-9863043841ABI127B263B-70B004dB995J28A376324795ABI5HJIifB6fchd6585G4G173200001AH6J2H3AG4969C43,4504235283134790,"Кировоградская улица, 13а",55.612154,37.607059,4.0,Железобетон,"Пандус, Вызов персонала, Туалет для маломобильных людей, Автоматическая дверь, Доступный вход для людей с инвалидностью",,,2026-01-14,12.0,1,440.0,Россия,Москва,,Москва,,Columbus,Торгово-развлекательные центры,торгово-развлекательный центр,4.8,932.0,1004,1,1003,Пражская,['metro'],120.0,3,"{'Пражская': {'distance': 120, 'comment': 'Серпуховско-Тимирязевская линия', 'route_types': ['metro']}, 'Южная': {'distance': 1100, 'comment': 'Серпуховско-Тимирязевская линия', 'route_types': ['metro']}, 'Улица Академика Янгеля': {'distance': 1900, 'comment': 'Серпуховско-Тимирязевская линия', 'route_types': ['metro']}}",Чертаново Центральное
4504127908409343_434333444df5eA8d9J7H1J2JHGIIGH0J32443355ed-9863043841ABI1943A365-70B004dB995J28A37632479AAI4JHJ2ifB6fchd6585G4G148241279H5J3I2B51C4B956,4504235282556020,"улица Красного Маяка, 2Б",55.611084,37.606862,3.0,Железобетон,"Пандус, Широкий лифт, Туалет для маломобильных людей, Автоматическая дверь, Доступный вход для людей с инвалидностью",,,2025-11-17,12.0,1,131.0,Россия,Москва,,Москва,,Columbus Южная галерея,Торгово-развлекательные центры,торгово-развлекательный центр,4.8,96.0,1001,1,1000,Пражская,['metro'],70.0,3,"{'Пражская': {'distance': 70, 'comment': 'Серпуховско-Тимирязевская линия', 'route_types': ['metro']}, 'Южная': {'distance': 1200, 'comment': 'Серпуховско-Тимирязевская линия', 'route_types': ['metro']}, 'Улица Академика Янгеля': {'distance': 1800, 'comment': 'Серпуховско-Тимирязевская линия', 'route_types': ['metro']}}",Чертаново Центральное
4504127909006279_434333444df5eA8d9J7H1J2JHGIIGH0J32443355ed-9863043841ABI1A03729B-70B004dB995J28A37632479AAI4JHJ2ifB6fchd6585G4G148241279H6J3I2B51C4B9ed,4504235283007809,"проспект Мира, 211 к2",55.845056,37.659915,3.0,Железобетон,"Широкий лифт, Туалет для маломобильных людей, Автоматическая дверь, Доступный вход для людей с инвалидностью",,,2026-03-17,12.0,1,528.0,Россия,Москва,,Москва,,Europolis,Торгово-развлекательные центры,торгово-развлекательный центр,4.7,883.0,6104,2,6102,Ростокино,['mcc'],950.0,2,"{'Ростокино': {'distance': 950, 'comment': 'Московское центральное кольцо', 'route_types': ['mcc']}, 'Свиблово': {'distance': 1200, 'comment': 'Калужско-Рижская линия', 'route_types': ['metro']}}",Свиблово
4504127908392754_434333444df5eA8d9J7H1J2JHGIIGH0J32443355ed-9863043841ABI193C3776-70B004dB995J28A37632479AAI4JHJ2ifB6fchd6585G4G148241279H7J3I2B51C4B962,4504235282542199,"улица Декабристов, 12",55.863475,37.602251,4.0,Железобетон,"Пандус, Широкий лифт, Туалет для маломобильных людей, Автоматическая дверь, Доступный вход для людей с инвалидностью",,,2026-01-14,12.0,1,158.0,Россия,Москва,,Москва,,Fort Отрадное,Торгово-развлекательные центры,торгово-развлекательный центр,4.7,198.0,852,2,850,Отрадное,['metro'],40.0,1,"{'Отрадное': {'distance': 40, 'comment': 'Серпуховско-Тимирязевская линия', 'route_types': ['metro']}}",Отрадное
70000001039592289_434333444df5eA8d9J7H1J2J1GIIGHG332443355ed-9863043841ABI1498A24A-70B004dB995J28A376324795ABI5HJIifB6fchd6585G4G173200001AHAJ2H3AG4969Cb5,70030076139339019,"Аминьевское шоссе, 6",55.706539,37.457278,22.0,Железобетон,"Пандус, Широкий лифт, Туалет для маломобильных людей, Автоматическая дверь, Доступный вход для людей с инвалидностью",,2020-05-01,2026-01-14,12.0,1,181.0,Россия,Москва,,Москва,Матвеевское м-н,Kvartal West,Торгово-развлекательные центры,многофункциональный комплекс,4.5,110.0,322,31,291,Давыдково,['metro'],950.0,3,"{'Давыдково': {'distance': 950, 'comment': 'Большая кольцевая линия', 'route_types': ['metro']}, 'Аминьевская': {'distance': 1300, 'comment': 'Большая кольцевая линия', 'route_types': ['metro']}}",Очаково-Матвеевское
70000001019070866_434333444df5eA8d9J7H1J2J1GIIGHG332443355ed-9863043841ABI129380A8-70B004dB995J28A376324795ABI5HJIifB6fchd6585G4G1732000017HBJ2H3AG4969C4g,4504235283049966,"Поречная улица, 10",55.649738,37.769318,6.0,Железобетон,"Пандус, Туалет для маломобильных людей, Автоматическая дверь, Доступный вход для людей с инвалидностью",,,2025-10-13,12.0,1,195.0,Россия,Москва,,Москва,,Mari,Торгово-развлекательные центры,торгово-развлекательный комплекс,4.6,168.0,950,103,847,Братиславская,['metro'],1700.0,2,"{'Братиславская': {'distance': 1700, 'comment': 'Люблинско-Дмитровская линия', 'route_types': ['metro']}, 'Марьино': {'distance': 2000, 'comment': 'Люблинско-Дмитровская линия', 'route_types': ['metro']}}",Марьино
70000001051629269_434333444df5eA8d9J7H1J2J1GIIGHG332443355ed-9863043841ABI16193948-70B004dB995J28A376324795ABI5HJIifB6fchd6585G4G173200001AHCJ2H3AG4969C2f,70030076200159782,"улица Каховка, 29а",55.65626,37.569326,5.0,Железобетон,"Пандус, Широкий лифт, Автоматическая дверь, Доступный вход для людей с инвалидностью",,2021-06-01,2026-01-22,12.0,1,122.0,Россия,Москва,,Москва,,Prime Plaza,Торгово-развлекательные центры,торгово-развлекательный центр,4.6,110.0,647,7,640,Зюзино,['metro'],200.0,2,"{'Зюзино': {'distance': 200, 'comment': 'Большая кольцевая линия', 'route_types': ['metro']}, 'Каховская': {'distance': 1900, 'comment': 'Большая кольцевая линия', 'route_types': ['metro']}}",Черёмушки
4504127921105452_434333444df5eA8d9J7H1J2J1GIIGHG332443355ed-9863043841ABI32136474-70B004dB995J28A376324795ABI5HJIifB6fchd6585G4G148241279H23J2H3AG4969C7d,4504235282810606,"Охотный Ряд улица, 2",55.757788,37.618355,,,"Пандус, Широкий лифт, Автоматическая дверь, Доступный вход для людей с инвалидностью",,,2025-09-29,12.0,1,,Россия,Москва,,Москва,,Seasons,Торгово-развлекательные центры,торговая галерея,4.5,27.0,451,1,450,Охотный Ряд,['metro'],80.0,3,"{'Охотный Ряд': {'distance': 80, 'comment': 'Сокольническая линия', 'route_types': ['metro']}, 'Театральная': {'distance': 220, 'comment': 'Замоскворецкая линия', 'route_types': ['metro']}, 'Площадь Революции': {'distance': 220, 'comment': 'Арбатско-Покровская линия', 'route_types': ['metro']}}",Тверской
4504127908896945_434333444df5eA8d9J7H1J2J1GIIGHG332443355ed-9863043841ABI198C7967-70B004dB995J28A376324795ABI5HJIifB6fchd6585G4G148241279H24J2H3AG4969Cdb,4504235283016430,"МКАД 24 километр, 1",55.585267,37.724902,3.0,Железобетон,"Пандус, Широкий лифт, Туалет для маломобильных людей, Автоматическая дверь, Доступный вход для людей с инвалидностью",,,2025-11-11,12.0,3,372.0,Россия,Московская область,Ленинский городской округ,,,Vegas,Торгово-развлекательные центры,торгово-развлекательный центр,4.8,298.0,7655,7653,2,ТРЦ Вегас,"['bus', 'shuttle_bus']",50.0,1,"{'ТРЦ Вегас': {'distance': 50, 'comment': None, 'route_types': ['bus', 'shuttle_bus']}}",
70000001029156268_6rj5hg62dBdB9A829J7H2J2JH0IIGHGJedom5yDl39-c17d043841BBI13946648-d8d5048B995J28A3763247AA5BBJ3JIf8i3b78B8d33G4G1732000019H57I1I20J1B4C9gf,4504235305320232,"Хорошёвский проезд, 14",55.720038,37.378502,4.0,Железобетон,"Автоматическая дверь, Доступный вход для людей с инвалидностью",,2017-09-15,2026-03-16,12.0,3,299.0,Россия,Московская область,Одинцовский городской округ,,,Vegas,Торгово-развлекательные центры,торгово-развлекательный центр,4.8,181.0,451,83,368,Немчиновка,"['suburban_train', 'aeroexpress', 'mcd']",850.0,2,"{'Немчиновка': {'distance': 850, 'comment': 'D1 Белорусско-Савёловский диаметр', 'route_types': ['suburban_train', 'aeroexpress', 'mcd']}, 'Сетунь': {'distance': 1500, 'comment': 'D1 Белорусско-Савёловский диаметр', 'route_types': ['suburban_train', 'aeroexpress', 'mcd']}}",
70000001006633601_6rj5hg62dBdB9A829J7H2J2JH0IIGHGJedom5yDl39-c17d043841BBI11694382-d8d5048B995J28A3763247AA5BBJ3JIf8i3b78B8d33G4G1732000012H58I1I20J1B4C983,4504235283115415,"Международная улица, 12",55.821032,37.386681,6.0,Железобетон,"Пандус, Широкий лифт, Туалет для маломобильных людей, Автоматическая дверь, Доступный вход для людей с инвалидностью",,,2026-03-12,12.0,3,348.0,Россия,Московская область,Красногорск городской округ,Красногорск,,Vegas,Торгово-развлекательные центры,торгово-развлекательный центр,4.8,292.0,8,4,4,Мякинино,['metro'],290.0,1,"{'Мякинино': {'distance': 290, 'comment': 'Арбатско-Покровская линия', 'route_types': ['metro']}}",
70000001079209661_6rj5hg62dBdB9A829J7H2J2JH0IIGHGJedom5yDl39-c17d043841BBI18951988-d8d5048B995J28A3763247AA5BBJ3JIf8i3b78B8d33G4G1732000012H59I1I20J1B4C9c5,70030076479930736,"улица Лобачевского, 39",55.690886,37.470126,3.0,Железобетон,,opening_soon,,2026-03-11,10.0,1,1.0,Россия,Москва,,Москва,Мичурино жилой комплекс,Westmall,Торгово-развлекательные центры,многофункциональный центр,1.1,4.0,1,1,0,Аминьевская,['metro'],800.0,3,"{'Аминьевская': {'distance': 800, 'comment': 'Большая кольцевая линия', 'route_types': ['metro']}, 'Мичуринский проспект': {'distance': 1200, 'comment': 'Солнцевская линия', 'route_types': ['metro']}}",Очаково-Матвеевское
4504127908386957_6rj5hg62dBdB9A829J7H2J2J1GIIGHG3edom5yDl39-c17d043841BBI193B7979-d8d5048B995J28A3763247A5ABI5HJIf8i3b78B8d33G4G148241279H3AJ2H3AG4969C93,4504235282552773,"Дмитровское шоссе, 89",55.863775,37.544851,8.0,Железобетон,"Пандус, Туалет для маломобильных людей, Автоматическая дверь, Доступный вход для людей с инвалидностью",,,2025-10-13,12.0,3,162.0,Россия,Москва,,Москва,,XL,"Бизнес-центры,Торгово-развлекательные центры",торгово-развлекательные и специализированные центры,4.6,102.0,551,1,550,Селигерская,['metro'],210.0,3,"{'Селигерская': {'distance': 210, 'comment': 'Люблинско-Дмитровская линия', 'route_types': ['metro']}, 'Верхние Лихоборы': {'distance': 1300, 'comment': 'Люблинско-Дмитровская линия', 'route_types': ['metro']}, 'Моссельмаш': {'distance': 1600, 'comment': 'D3 Ленинградско-Казанский диаметр', 'route_types': ['suburban_train', 'mcd']}}",Западное Дегунино
4504127908395139_6rj5hg62dBdB9A829J7H2J2J1GIIGHG3edom5yDl39-c17d043841BBI193C615B-d8d5048B995J28A3763247A5ABI5HJIf8i3b78B8d33G4G148241279H3BJ2H3AG4969C3g,4504235282915883,"Коммунистическая улица, 1",55.891593,37.748942,3.0,Железобетон,"Пандус, Вызов персонала, Широкий лифт, Туалет для маломобильных людей, Автоматическая дверь, Доступный вход для людей с инвалидностью",,,2025-11-25,12.0,3,99.0,Россия,Московская область,Мытищи городской округ,Мытищи,,XL,Торгово-развлекательные центры,торгово-развлекательный центр,4.9,44.0,501,501,0,Тайнинская,['suburban_train'],1400.0,2,"{'Тайнинская': {'distance': 1400, 'comment': None, 'route_types': ['suburban_train']}, 'Перловская': {'distance': 1600, 'comment': None, 'route_types': ['suburban_train']}}",
70000001007401589_6rj5hg62dBdB9A829J7H2J2JH0IIGHGJedom5yDl39-c17d043841BBI1177117A-d8d5048B995J28A3763247AA5BBJ3JIf8i3b78B8d33G4G173200001AH5CI1I20J1B4C940,4504235295609074,"2-й микрорайон, ст20",55.998039,37.261176,1.0,Железобетон,"Пандус, Автоматическая дверь",,2015-12-22,2026-01-12,12.0,1,292.0,Россия,Московская область,Солнечногорск городской округ,,,Zеленопарк,Торгово-развлекательные центры,торгово-развлекательный центр,4.8,135.0,659,659,0,ТРЦ Зеленопарк,"['bus', 'shuttle_bus']",20.0,1,"{'ТРЦ Зеленопарк': {'distance': 20, 'comment': None, 'route_types': ['bus', 'shuttle_bus']}}",
4504127918116644_6rj5hg62dBdB9A829J7H2J2J1GIIGHG3edom5yDl39-c17d043841BBI29147666-d8d5048B995J28A3763247A5ABI5HJIf8i3b78B8d33G4G148241279H43J2H3AG4969Cb9,4504235282603037,"микрорайон Северное Чертаново, 1а",55.636443,37.598373,40.0,Монолит,"Подъёмник, Туалет для маломобильных людей, Автоматическая дверь, Доступный вход для людей с инвалидностью",,,2025-10-17,12.0,1,204.0,Россия,Москва,,Москва,Северное Чертаново м-н,Авентура,Торгово-развлекательные центры,торгово-развлекательный центр,4.6,74.0,197,3,194,Чертановская,['metro'],800.0,1,"{'Чертановская': {'distance': 800, 'comment': 'Серпуховско-Тимирязевская линия', 'route_types': ['metro']}}",Чертаново Северное
