title,extension,content,address,address_comment,postal,district,city,region,rating,rating_cnt,lat,lon,type
120/80,,Аптеки; Ортопедические товары; Медицинские приборы,"Мытная улица, 52",1 этаж,115162.0,Даниловский,Москва,Москва,,,55.717287,37.618922,branch
120/80,,Аптеки,"Октябрьская улица, 38 к2",1 этаж,127018.0,Марьина Роща,Москва,Москва,3.6,3.0,55.79091,37.613708,branch
"36,6",аптека,Аптеки,"улица Ермакова Роща, 1 ст1",,123290.0,Пресненский,Москва,Москва,,,55.754354,37.530262,branch
"36,6",аптека,Аптеки,"улица Крымский Вал, 6",,119049.0,Якиманка,Москва,Москва,,,55.730787,37.610396,branch
"36,6",аптека,Аптеки; БАДы; Средства гигиены; Медицинские расходные материалы; Доставка лекарств,"Береговой проезд, 1Б",,121087.0,Филёвский парк,Москва,Москва,5.0,1.0,55.756806,37.512905,branch
"36,6",аптека,Аптеки; Медицинские приборы,"проезд Шелихова, 1 к2",,111033.0,Лефортово,Москва,Москва,,,55.749065,37.689804,branch
"36,6",аптека,Аптеки,"улица Крузенштерна, 2",,111033.0,Лефортово,Москва,Москва,5.0,1.0,55.750214,37.686534,branch
"36,6",аптека,Аптеки,"1-й Сетуньский проезд, 8",,119136.0,Раменки,Москва,Москва,5.0,1.0,55.732176,37.540313,branch
"36,6",аптека,Аптеки; БАДы,"Киевская улица, 2",1 этаж,121059.0,Дорогомилово,Москва,Москва,,,55.743555,37.562975,branch
"36,6",аптека,Аптеки; БАДы,"Пятницкая улица, 53",1 этаж,115184.0,Замоскворечье,Москва,Москва,,,55.734403,37.627959,branch
"36,6",аптека,Аптеки; БАДы; Медицинские приборы; Средства гигиены,"Дубининская улица, 59а",1 этаж,115054.0,Даниловский,Москва,Москва,4.5,6.0,55.719062,37.635615,branch
"36,6",аптека,Аптеки; БАДы; Медицинские приборы; Средства гигиены; Доставка лекарств,"Малая Пироговская улица, 8",1 этаж,119435.0,Хамовники,Москва,Москва,4.7,4.0,55.729572,37.570405,branch
"36,6",аптека,Аптеки; БАДы,"1-й Смоленский переулок, 2",0 этаж,121099.0,Арбат,Москва,Москва,2.9,16.0,55.747856,37.581861,branch
"36,6",аптека,Аптеки; БАДы; Средства гигиены; Медицинские приборы; Доставка лекарств,"Большая Филёвская улица, 4",1 этаж,121087.0,Филёвский парк,Москва,Москва,3.5,6.0,55.753591,37.512347,branch
"36,6",аптека,Аптеки; БАДы; Медицинские приборы; Средства гигиены,"улица Орджоникидзе, 11",1 этаж,115419.0,Донской,Москва,Москва,4.4,11.0,55.708446,37.595783,branch
"36,6",аптека,Аптеки; БАДы; Средства гигиены,"проспект Мира, 77 к2",1 этаж,129110.0,Мещанский,Москва,Москва,,,55.789982,37.633688,branch
"36,6",аптека,Аптеки,"2-я Брестская улица, 43",,123056.0,Пресненский,Москва,Москва,,,55.774586,37.583897,branch
"36,6",аптека,Аптеки; БАДы; Медицинские приборы,"Тверская улица, 25",1 этаж,125009.0,Тверской,Москва,Москва,4.3,38.0,55.767203,37.600474,branch
"36,6",аптека,Аптеки,"Новинский бульвар, 8",1 этаж,121099.0,Арбат,Москва,Москва,,,55.751227,37.583952,branch
"36,6",аптека №1,Аптеки; Средства гигиены; БАДы; Медицинские приборы,"Селезнёвская улица, 4",1 этаж,127473.0,Тверской,Москва,Москва,4.4,13.0,55.779522,37.603261,branch
