title,extension,content,address,address_comment,postal,district,city,region,rating,rating_cnt,lat,lon,type
Аллея знаний,загородная частная гимназия,Гимназии; Частные детские сады,"улица Героя Советского Союза Конюхова С.С., 1Б",,143582.0,,,Московская область,,,55.805426,36.986684,branch
Богородский,центр образования,Гимназии,"Советская улица, 101",,142400.0,,Ногинск,Московская область,,,55.851171,38.433097,branch
Вектор,гимназия №16,Гимназии,"проспект Гагарина, 24 к4",,140010.0,,Люберцы,Московская область,3.5,5.0,55.68946,37.920567,branch
Видновская гимназия,,Гимназии,"Жуковский проезд, 12",,142701.0,,Видное,Московская область,4.6,1.0,55.543456,37.711429,branch
Виктория,лингвистическая гимназия,Гимназии,"посёлок Горки-2, 18",,143033.0,,,Московская область,3.0,1.0,55.725735,37.162183,branch
Всероссийский государственный университет юстиции,Русская классическая гимназия,Гимназии,"улица Академика Петровского, 10",,115419.0,Донской,Москва,Москва,5.0,2.0,55.719298,37.606649,branch
Гимназия,,Гимназии,"улица Профессора Летохова, 1",,108841.0,Троицк гор. округ,Троицк,Москва,,,55.483931,37.298152,branch
Гимназия,,Гимназии,"Северное шоссе, 8",,140105.0,Западный район,Раменское,Московская область,1.8,3.0,55.579778,38.222175,branch
Гимназия,,Гимназии,"Южная улица, 14",,142502.0,,Павловский Посад,Московская область,5.0,1.0,55.767697,38.659516,branch
Гимназия,,Гимназии,"Большая Покровская улица, 39",,142502.0,,Павловский Посад,Московская область,5.0,2.0,55.770591,38.654324,branch
Гимназия,,Гимназии,"Большая Покровская улица, 43",,142502.0,,Павловский Посад,Московская область,5.0,1.0,55.768067,38.654684,branch
Гимназия,,Гимназии,"Полевая улица, 18а",,141195.0,,Фрязино,Московская область,5.0,1.0,55.948879,38.053333,branch
Гимназия,,Гимназии,"улица Некрасова, 15",,143968.0,,Реутов,Московская область,,,55.772573,37.848559,branch
Гимназия №1,,Гимназии,"Косяково село, 110а",,140207.0,,,Московская область,,,55.351119,38.49745,branch
Гимназия №1,,Гимназии,"улица Кагана, 22",,140209.0,,Воскресенск,Московская область,3.0,1.0,55.312331,38.647577,branch
Гимназия №1,,Гимназии,"Индустриальная улица, 7 к2",,141006.0,,Мытищи,Московская область,4.0,8.0,55.924799,37.762926,branch
Гимназия №1,,Гимназии,"Октябрьский проспект, 178",,140000.0,,Люберцы,Московская область,5.0,2.0,55.67743,37.893607,branch
Гимназия №1,,Гимназии,"Первомайская улица, 1",,140080.0,,Лыткарино,Московская область,3.2,3.0,55.580758,37.906666,branch
Гимназия №1,,Гимназии,"проспект Мира, 8",,143090.0,,Краснознаменск,Московская область,,,55.597617,37.041755,branch
