title,extension,content,address,address_comment,postal,district,city,region,rating,rating_cnt,lat,lon,type
Префектура Восточного административного округа,,Администрации районов / округов городской власти,"Преображенская площадь, 9",,107076.0,Преображенское,Москва,Москва,,,55.796948,37.708881,branch
Соколиный дворик,бизнес-парк,Аренда помещений; Бизнес-центры,"Большая Семёновская улица, 11 ст3",2 этаж,107023.0,Соколиная Гора,Москва,Москва,4.7,4.0,55.7831,37.702759,branch
Префектура Восточного административного округа,управление торговли и услуг,Администрации районов / округов городской власти,"Преображенская площадь, 9",607 офис; 6 этаж,107076.0,Преображенское,Москва,Москва,,,55.796845,37.70931,branch
Префектура Восточного административного округа,организационное управление,Администрации районов / округов городской власти,"Преображенская площадь, 9",612 офис; 6 этаж,107076.0,Преображенское,Москва,Москва,,,55.796845,37.70931,branch
Синица плаза,бизнес-центр,Аренда помещений; Бизнес-центры,"2-я Синичкина улица, 9а ст4",,111020.0,Лефортово,Москва,Москва,4.7,5.0,55.760845,37.718461,branch
На Бауманской,бизнес-центр,Аренда помещений; Бизнес-центры,"улица Фридриха Энгельса, 75 ст21",,105082.0,Басманный,Москва,Москва,4.4,6.0,55.779165,37.692955,branch
Префектура Восточного административного округа,управление развития социальной сферы,Администрации районов / округов городской власти,"Преображенская площадь, 9",616 офис; 6 этаж,107076.0,Преображенское,Москва,Москва,,,55.796845,37.70931,branch
Префектура Восточного административного округа,"управление строительства, реконструкции и землепользования",Администрации районов / округов городской власти,"Преображенская площадь, 9",507 офис; 5 этаж,107076.0,Преображенское,Москва,Москва,,,55.796845,37.70931,branch
Префектура Восточного административного округа,управление бухгалтерского учёта и отчётности,Администрации районов / округов городской власти,"Преображенская площадь, 9",806 офис; 8 этаж,107076.0,Преображенское,Москва,Москва,,,55.796845,37.70931,branch
Префектура Восточного административного округа,управление государственной службы и кадров,Администрации районов / округов городской власти,"Преображенская площадь, 9",207 офис; 2 этаж,107076.0,Преображенское,Москва,Москва,,,55.796845,37.70931,branch
Префектура Восточного административного округа,"управление экономики, перспективного развития",Администрации районов / округов городской власти,"Преображенская площадь, 9",706 офис; 7 этаж,107076.0,Преображенское,Москва,Москва,,,55.796845,37.70931,branch
Префектура Восточного административного округа,управление ЖКХ и благоустройства,Администрации районов / округов городской власти,"Преображенская площадь, 9",408 офис; 4 этаж,107076.0,Преображенское,Москва,Москва,,,55.796845,37.70931,branch
Префектура Восточного административного округа,управление реновации жилищного фонда,Администрации районов / округов городской власти,"Преображенская площадь, 9",514 офис; 5 этаж,107076.0,Преображенское,Москва,Москва,,,55.796845,37.70931,branch
Префектура Восточного административного округа,управление по работе с документами,Администрации районов / округов городской власти,"Преображенская площадь, 9",212 офис; 2 этаж,107076.0,Преображенское,Москва,Москва,,,55.796845,37.70931,branch
Префектура Восточного административного округа,управление делами,Администрации районов / округов городской власти,"Преображенская площадь, 9",322 офис; 3 этаж,107076.0,Преображенское,Москва,Москва,,,55.796845,37.70931,branch
Семёновский,бизнес-центр,Аренда помещений; Бизнес-центры,"улица Ибрагимова, 31",,105318.0,Соколиная Гора,Москва,Москва,5.0,2.0,55.788991,37.729352,branch
Банный 9,бизнес-центр,Аренда помещений; Бизнес-центры,"Банный переулок, 9",,129110.0,Мещанский,Москва,Москва,4.7,4.0,55.786399,37.63921,branch
На Парковой,бизнес-центр,Аренда помещений; Бизнес-центры,"3-я Парковая улица, 41а",,105425.0,Измайлово,Москва,Москва,2.1,2.0,55.800839,37.781307,branch
Офисный центр,,Аренда помещений; Бизнес-центры,"Большая Переяславская улица, 46 ст2",,129110.0,Мещанский,Москва,Москва,4.8,2.0,55.786899,37.641066,branch
Весна,бизнес-парк,Аренда помещений; Бизнес-центры,"Колодезный переулок, 3 ст25",,107076.0,Сокольники,Москва,Москва,3.5,4.0,55.796286,37.700896,branch
Холидей Инн Москва Сокольники,отель,Бизнес-центры; Гостиницы; Конференц-залы; Организация праздников,"Русаковская улица, 24",,107014.0,Сокольники,Москва,Москва,4.8,2629.0,55.787199,37.681833,branch
Пальмира,бизнес-центр,Аренда помещений; Бизнес-центры,"улица Фридриха Энгельса, 75 ст11",,105082.0,Басманный,Москва,Москва,4.7,1.0,55.778369,37.694077,branch
РТС,бизнес-центр,Аренда помещений; Бизнес-центры; Памятники и скульптуры,"улица Ибрагимова, 31 к47",,105318.0,Соколиная Гора,Москва,Москва,4.9,1.0,55.788411,37.729677,branch
Лефорт,деловой центр,Аренда помещений; Бизнес-центры,"улица Электрозаводская, 27 ст1а",,107023.0,Преображенское,Москва,Москва,4.8,7.0,55.791097,37.705701,branch
Соколиная нора,антикафе,Коворкинг; Антикафе,"Щербаковская улица, 53 к2",2 этаж,105187.0,Соколиная Гора,Москва,Москва,5.0,17.0,55.783249,37.738092,branch
Бизнес-Недвижимость,Компания,Аренда помещений; Бизнес-центры,"Знаменская улица, 4",,107392.0,Преображенское,Москва,Москва,,,55.801803,37.715183,branch
Smart Yard,сервисный офис,Коворкинг; Конференц-залы,"Спартаковская площадь, 16/15 ст6",3 этаж,105082.0,Басманный,Москва,Москва,5.0,78.0,55.776521,37.679504,branch
Бизнес сквер,бизнес-центр,Аренда помещений; Бизнес-центры,"Колодезный переулок, 3 ст26",,107076.0,Сокольники,Москва,Москва,5.0,2.0,55.795875,37.700402,branch
ОКБ Деловой центр,,Аренда помещений; Бизнес-центры,"9-я Парковая улица, 39",102 офис; 1 этаж,105264.0,Измайлово,Москва,Москва,4.9,1.0,55.800511,37.798535,branch
Сударыня,бизнес-центр,Аренда помещений; Бизнес-центры,"Новогиреевская улица, 28а",,111397.0,Перово,Москва,Москва,2.6,4.0,55.755852,37.795111,branch
Сторожевая,бизнес-центр,Аренда помещений; Бизнес-центры,"Сторожевая улица, 4 ст7",,111020.0,Лефортово,Москва,Москва,5.0,1.0,55.76597,37.710294,branch
Инар,офисный центр,Аренда помещений; Бизнес-центры,"Большая Почтовая улица, 26в ст1",213 офис; 2 этаж,105082.0,Басманный,Москва,Москва,3.3,3.0,55.778512,37.698478,branch
Лефорт,деловой центр,Аренда помещений; Бизнес-центры,"улица Электрозаводская, 27 ст2",,107023.0,Преображенское,Москва,Москва,5.0,1.0,55.790557,37.70633,branch
Платформа,отдел аренды и продаж,Бизнес-центры; Аренда помещений; Интересные здания,"Спартаковский переулок, 2 ст1",4 этаж,105082.0,Красносельский,Москва,Москва,4.7,10.0,55.778919,37.673636,branch
Прео8,бизнес-центр,Бизнес-центры,"Преображенская площадь, 8",,107061.0,Преображенское,Москва,Москва,4.7,32.0,55.795024,37.712745,branch
Прокуратура Восточного административного округа,,Прокуратура,"улица Стромынка, 3",4 этаж,107014.0,Сокольники,Москва,Москва,,,55.790694,37.683508,branch
Лефорт,деловой центр,Аренда помещений; Бизнес-центры,"улица Электрозаводская, 27 ст5",,107023.0,Преображенское,Москва,Москва,,,55.789992,37.706697,branch
Санторини-сервис,бизнес-центр,Аренда помещений; Бизнес-центры,"Большая Почтовая улица, 36 ст1",,105082.0,Басманный,Москва,Москва,2.3,1.0,55.781022,37.696956,branch
Красный дом,офисно-складской комплекс,Аренда помещений; Бизнес-центры,"Колодезный переулок, 3 ст17",,107076.0,Сокольники,Москва,Москва,5.0,1.0,55.796723,37.699904,branch
Grape,лофт-фотостудия,Коворкинг; Аренда лофтов; Фотостудии,"Малая Семёновская улица, 5 ст10",-1 этаж,107023.0,Преображенское,Москва,Москва,,,55.784915,37.706732,branch
ОТП Банк,офис,Банки; Обмен валюты,"Преображенская площадь, 6",1 этаж,107061.0,Преображенское,Москва,Москва,3.2,13.0,55.795027,37.711782,branch
Loft YesNot,,Коворкинг; Аренда лофтов; Конференц-залы,"3-й Красносельский переулок, 19 ст1","1, 2 этаж",107140.0,Красносельский,Москва,Москва,5.0,53.0,55.785014,37.655494,branch
Лермонтовский,бизнес-центр,Коворкинг; Конференц-залы; Бизнес-центры,"Октябрьский проспект, 1",1 этаж,140002.0,,Люберцы,Московская область,1.9,2.0,55.700049,37.858648,branch
Boiler,,Коворкинг; Аренда лофтов,"Щербаковская улица, 16",1 этаж,105318.0,Соколиная Гора,Москва,Москва,5.0,12.0,55.781143,37.72489,branch
Бизнес-комплекс на Русаковской,офисно-деловой центр,Аренда помещений; Бизнес-центры,"Русаковская улица, 13 ст5",,107140.0,Красносельский,Москва,Москва,,,55.784771,37.672214,branch
На Новой,бизнес-центр,Аренда помещений; Конференц-залы; Бизнес-центры,"Новая улица, ст9а",,140002.0,,Люберцы,Московская область,2.4,4.0,55.693405,37.872996,branch
Красносельский,бизнес-центр,Бизнес-центры,"Верхняя Красносельская улица, 3 ст2",,107140.0,Красносельский,Москва,Москва,4.9,16.0,55.785784,37.660603,branch
Кусково,бизнес-центр,Бизнес-центры; Конференц-залы,"Кусковская улица, 20а к Г",306 офис; 3 этаж,111141.0,Новогиреево,Москва,Москва,4.6,3.0,55.740013,37.784908,branch
Лессор,бизнес-центр,Аренда помещений; Бизнес-центры,"Нижняя Красносельская улица, 5 ст6",,107140.0,Красносельский,Москва,Москва,,,55.779148,37.668152,branch
Zoloto,бизнес-центр,Бизнес-центры; Перманентный макияж,"Золотая улица, 11",,105094.0,Соколиная Гора,Москва,Москва,4.7,13.0,55.779596,37.711305,branch
Central Yard,деловой центр,Бизнес-центры,"Бауманская улица, 7",224-1 офис; 2 этаж,105005.0,Басманный,Москва,Москва,4.6,8.0,55.776983,37.676452,branch
Преображенский 7,бизнес-центр,Бизнес-центры,"Преображенская площадь, 7а",цокольный этаж,107076.0,Преображенское,Москва,Москва,4.9,12.0,55.795738,37.709084,branch
Щербаковский,деловой центр,Бизнес-центры,"Щербаковская улица, 3",,105318.0,Соколиная Гора,Москва,Москва,4.6,14.0,55.782724,37.723404,branch
Мосрентсервис,бизнес-центр,Аренда помещений; Бизнес-центры,"Краснобогатырская улица, 89",,107076.0,Преображенское,Москва,Москва,5.0,1.0,55.800575,37.71499,branch
Союз,многофункциональный комплекс,Бизнес-центры,"Переведеновский переулок, 13 ст18",,105082.0,Басманный,Москва,Москва,4.9,1.0,55.781107,37.689193,branch
РТС,бизнес-центр,Аренда помещений; Бизнес-центры,"Мироновская улица, 25",,105318.0,Соколиная Гора,Москва,Москва,1.4,1.0,55.787782,37.732808,branch
СберБанк,,Банки; Обмен валюты; Ипотечные кредиты; Инвестиционные драгоценные металлы; Операции на фондовом рынке; Регистрация и ликвидация предприятий; Электронные подписи,"Рождественская улица, 31",1 этаж,111677.0,Некрасовка,Москва,Москва,4.5,19.0,55.706528,37.930816,branch
Вэронд,бизнес-центр,Бизнес-центры,"площадь Семёновская, 7",5 этаж,105318.0,Соколиная Гора,Москва,Москва,4.4,9.0,55.783566,37.720275,branch
Семёновский 15,бизнес-центр,Бизнес-центры,"Семёновский переулок, 15",110 офис; 1 этаж,107023.0,Соколиная Гора,Москва,Москва,4.7,17.0,55.783014,37.715979,branch
Красный богатырь,бизнес-центр,Бизнес-центры; Интересные здания,"Краснобогатырская улица, 2 к2",,107564.0,Богородское,Москва,Москва,4.0,16.0,55.814662,37.693761,branch
Streamline plaza,бизнес-центр,Бизнес-центры; Конференц-залы,"шоссе Энтузиастов, 34",,105118.0,Перово,Москва,Москва,4.4,6.0,55.754502,37.735425,branch
Platforma#1,центр коворкинга,Коворкинг; Конференц-залы,"Электродная улица, 2 ст34",3 этаж,111524.0,Перово,Москва,Москва,5.0,1.0,55.754717,37.751761,branch
Константинова 11А,бизнес-центр,Бизнес-центры,"улица Константинова, 11а",1 этаж,129164.0,Алексеевский,Москва,Москва,3.7,61.0,55.81701,37.655416,branch
Алексеевская башня,бизнес-центр,Бизнес-центры,"Ракетный бульвар, 16",,129164.0,Алексеевский,Москва,Москва,4.6,8.0,55.817548,37.655793,branch
Солидарность,дополнительный офис-центр обслуживания иностранных граждан,Банки; Обмен валюты,"Краснопрудная улица, 13",1 этаж,107140.0,Красносельский,Москва,Москва,2.6,8.0,55.781348,37.668023,branch
Лефортово,деловой центр,Бизнес-центры,"Авиамоторная улица, 12",,111024.0,Лефортово,Москва,Москва,4.6,8.0,55.75333,37.715646,branch
Лефорт,деловой центр,Бизнес-центры; Аренда помещений,"улица Электрозаводская, 27 ст8",,107023.0,Преображенское,Москва,Москва,5.0,5.0,55.791577,37.705527,branch
Палладиум,бизнес-центр,Бизнес-центры,"улица Лобачика, 11",1 этаж,107113.0,Сокольники,Москва,Москва,4.8,5.0,55.788388,37.662296,branch
Соколиная Гора,бизнес-центр,Бизнес-центры,"площадь Семёновская, 1а",,107023.0,Соколиная Гора,Москва,Москва,4.2,37.0,55.783038,37.71737,branch
Буревестник,бизнес-центр,Бизнес-центры,"3-я Рыбинская улица, 18 ст22",,107113.0,Сокольники,Москва,Москва,4.4,9.0,55.78965,37.659505,branch
СберБанк,,Банки; Обмен валюты; Ипотечные кредиты; Операции на фондовом рынке; Регистрация и ликвидация предприятий; Электронные подписи,"Щёлковское шоссе, 75",0 этаж,107207.0,Гольяново,Москва,Москва,2.8,46.0,55.810801,37.800945,branch
Штаб-квартира,коворкинг-центр,Коворкинг,"Бакунинская улица, 73 ст2",5 этаж,105082.0,Басманный,Москва,Москва,5.0,2.0,55.780322,37.692103,branch
Сокол,бизнес-центр,Бизнес-центры,"Щёлковское шоссе, 5 ст1",,105122.0,Гольяново,Москва,Москва,4.6,7.0,55.804203,37.755876,branch
Альфа-банк,,Банки,"Свободный проспект, 20а",1 этаж,111396.0,Новогиреево,Москва,Москва,4.2,144.0,55.751422,37.816497,branch
Гелиос Сити,деловой центр,Бизнес-центры,"1-й Перова Поля проезд, 9 ст1",,111141.0,Перово,Москва,Москва,4.8,6.0,55.749944,37.770608,branch
Преображенский,административно-деловой центр,Бизнес-центры,"улица Электрозаводская, 24",,107023.0,Преображенское,Москва,Москва,4.9,4.0,55.789112,37.707624,branch
Post&Plaza,бизнес-центр,Бизнес-центры,"Большая Почтовая улица, 26в ст2",,105082.0,Басманный,Москва,Москва,4.9,1.0,55.778335,37.699695,branch
You working,коворкинг,Коворкинг; Аренда лофтов; Конференц-залы,"Амурская улица, 1а к4",3н помещение; 1 этаж,107553.0,Гольяново,Москва,Москва,5.0,11.0,55.809352,37.758448,branch
Альфа-банк,,Банки,"Вельяминовская улица, 6 ст2",,105318.0,Соколиная Гора,Москва,Москва,4.7,106.0,55.781861,37.722914,branch
Зеленый 20,бизнес-центр,Бизнес-центры; Интересные здания,"Зелёный проспект, 20",,111397.0,Новогиреево,Москва,Москва,4.0,1.0,55.750433,37.786885,branch
Электродная,бизнес-парк,Бизнес-центры,"Электродная улица, 2 ст12",,111524.0,Перово,Москва,Москва,4.7,4.0,55.75396,37.749244,branch
Штерн Эстейт,коворкинг,Коворкинг,"Электродная улица, 11",2 этаж,111524.0,Перово,Москва,Москва,,,55.750379,37.755857,branch
S-Office,компания по аренде помещений,Аренда помещений; Коворкинг,"Привольная улица, 2 к5",4 этаж; 2 подъезд; правое крыло,109145.0,Выхино-Жулебино,Москва,Москва,,,55.703154,37.839043,branch
Бизнес-центр,,Аренда помещений; Бизнес-центры,"улица Короленко, 3а",,107076.0,Сокольники,Москва,Москва,,,55.797938,37.693911,branch
Московоркинг,коворкинг-центр,Коворкинг,"Сокольническая площадь, 4а",309 офис; 3 этаж,107113.0,Сокольники,Москва,Москва,,,55.790188,37.678586,branch
Юникон,бизнес-центр,Бизнес-центры,"улица Плеханова, 4а",,111123.0,Перово,Москва,Москва,4.3,16.0,55.754721,37.756781,branch
Synergy space,коворкинг-центр,Коворкинг,"площадь Семёновская, 7 к8",2 этаж,105318.0,Соколиная Гора,Москва,Москва,1.0,1.0,55.78398,37.719601,branch
ВТБ Банк,банк,Банки,"улица Вертолётчиков, 21 к5",1 этаж,111677.0,Некрасовка,Москва,Москва,4.0,9.0,55.712834,37.927926,branch
