streetAddress,lat,lon,Средний доход,Средняя стоимость ЖКУ,age_до 24 лет,age_25_34 лет,age_35_44 лет,age_45_54 лет,age_55_64 лет,age_от 65 лет,мужчины,женщины,С детьми,С животными,С автомобилем,link
"Перовская улица, 33 к1",55.746922,37.7755,100428.0,10252.0,14.37,24.06,29.41,17.0,10.29,4.87,58.11,41.89,23.77,19.12,39.75,https://domclick.ru/card/sale__flat__1475680000
"Рождественская улица, 4",55.698716,37.91465,113500.0,11496.0,14.17,33.9,35.94,11.11,4.08,0.79,59.64,40.36,43.76,23.47,48.19,https://domclick.ru/card/sale__flat__1653423787
"Симферопольский бульвар, 19 к2",55.65114,37.607233,100917.0,9550.0,12.32,19.38,23.78,22.71,14.89,6.93,46.59,53.41,27.41,21.01,36.1,https://domclick.ru/card/sale__flat__1706699007
"Стартовая улица, 9 к2",55.885981,37.701583,104479.0,10610.0,9.49,17.01,30.56,21.13,13.84,7.97,51.47,48.53,31.98,23.16,47.18,https://domclick.ru/card/sale__flat__1791192320
"проезд Шелихова, 7",55.749992,37.693515,112278.0,12051.0,32.99,26.32,24.68,11.0,3.68,1.34,53.33,46.67,23.33,18.96,35.93,https://domclick.ru/card/sale__flat__1846365265
"2-й Волконский переулок, 1",55.775819,37.616288,197704.0,11423.0,7.75,23.25,31.13,21.0,11.25,5.62,46.0,54.0,31.0,22.88,47.5,https://domclick.ru/card/sale__flat__1899998325
"улица Перерва, 45 к1",55.660648,37.747495,117454.0,10753.0,12.8,22.88,31.09,19.39,9.78,4.06,42.46,57.54,37.32,22.08,36.97,https://domclick.ru/card/sale__flat__1952201791
"Ленинградский проспект, 35 ст2",55.789629,37.551102,167110.0,16283.0,14.87,27.53,30.77,16.88,6.87,3.09,54.61,45.39,27.18,21.34,50.2,https://domclick.ru/card/sale__flat__2054367361
"1-я улица Лесные Поляны, 6к12",55.587239,37.470374,102327.0,9726.0,11.57,22.31,28.93,20.66,13.22,3.31,53.72,46.28,41.32,22.31,55.37,https://domclick.ru/card/sale__flat__2055998747
"6-я Радиальная улица, 7/1 к2",55.603442,37.652397,102931.0,10352.0,15.47,30.64,31.55,15.27,5.66,1.42,72.3,27.7,20.42,14.36,43.07,https://domclick.ru/card/sale__flat__2058072337
"Ленинградский проспект, 37/3",55.792915,37.54219,222651.0,17824.0,17.23,30.44,31.07,14.07,5.24,1.95,57.05,42.95,29.54,23.64,69.4,https://domclick.ru/card/sale__flat__2061297332
"проспект Мира, 177",55.838476,37.658505,107915.0,12563.0,14.7,23.35,28.9,19.06,9.55,4.45,64.73,35.27,21.83,15.66,51.13,https://domclick.ru/card/sale__flat__2061398574
"Варшавское шоссе, 152 к2",55.591259,37.598339,122505.0,10466.0,10.56,19.71,30.91,21.01,11.69,6.11,51.93,48.07,30.93,23.83,48.27,https://domclick.ru/card/sale__flat__2061565172
"улица Москворечье, 4 к6",55.643412,37.654736,123667.0,10567.0,19.03,20.36,27.2,17.69,10.61,5.11,57.47,42.53,24.76,20.83,43.24,https://domclick.ru/card/sale__flat__2062285253
"улица 1-я Лесные поляны, 10 к9",55.586247,37.470096,102327.0,9726.0,11.57,22.31,28.93,20.66,13.22,3.31,53.72,46.28,41.32,22.31,55.37,https://domclick.ru/card/sale__flat__2062394183
"Алтуфьевское шоссе, 92",55.900394,37.589587,103019.0,10407.0,16.44,23.55,27.54,19.95,8.54,3.98,51.27,48.73,25.93,21.66,39.57,https://domclick.ru/card/sale__flat__2062570874
"Котельническая набережная, 33 к1",55.740866,37.648018,134343.0,12041.0,18.22,27.37,26.53,15.79,8.82,3.27,45.68,54.32,22.17,20.4,37.03,https://domclick.ru/card/sale__flat__2062665810
"2-й Грайвороновский проезд, 38 к1",55.724395,37.740981,139339.0,9853.0,17.65,26.22,29.34,16.67,7.64,2.47,61.2,38.8,24.59,18.12,43.78,https://domclick.ru/card/sale__flat__2063183508
"Новоалексеевская улица, 4 к4",55.805701,37.641273,103212.0,9934.0,13.37,17.38,24.89,23.55,13.15,7.65,48.51,51.49,24.59,18.95,29.42,https://domclick.ru/card/sale__flat__2063194392
"улица Адмирала Макарова, 6а к1",55.836792,37.491934,170084.0,13089.0,11.46,27.74,31.9,17.55,8.57,2.79,47.72,52.28,30.43,21.91,44.62,https://domclick.ru/card/sale__flat__2063373427
"Цимлянская улица, 2",55.671604,37.77405,97875.0,11958.0,16.14,29.55,28.83,15.12,7.63,2.74,63.3,36.7,21.85,10.7,39.71,https://domclick.ru/card/sale__flat__2063765102
"Зеленоград, к1431",55.989333,37.152418,99069.0,9055.0,11.18,18.19,36.91,15.62,12.95,5.15,50.58,49.42,37.62,26.18,48.98,https://domclick.ru/card/sale__flat__2063824665
"Уваровский переулок, 10",55.827718,37.350917,96769.0,9544.0,13.07,22.12,30.23,18.36,11.26,4.96,62.6,37.4,24.93,19.03,52.01,https://domclick.ru/card/sale__flat__2064196520
"Онежская улица, 53 к3",55.859059,37.505606,118058.0,10727.0,10.05,18.53,26.45,22.46,14.44,8.08,47.8,52.2,26.25,26.1,42.45,https://domclick.ru/card/sale__flat__2064248065
"3-я Нововатутинская улица, 15 к2",55.51735,37.342698,123022.0,10936.0,9.43,24.34,40.19,15.28,7.55,3.21,54.91,45.09,37.36,23.21,54.53,https://domclick.ru/card/sale__flat__2064495483
"Цимлянская улица, 30",55.668782,37.765808,105350.0,10743.0,13.77,28.42,29.41,16.96,8.76,2.68,73.51,26.49,23.37,15.64,77.74,https://domclick.ru/card/sale__flat__2064628783
"улица Островитянова, 9 к4",55.643106,37.502644,95014.0,8296.0,43.36,16.05,15.62,13.71,7.23,4.04,42.35,57.65,26.25,17.16,30.02,https://domclick.ru/card/sale__flat__2064697947
"17-й проезд Марьиной Рощи, 1",55.807391,37.611543,115087.0,11215.0,12.91,24.03,31.04,18.6,9.89,3.52,63.88,36.12,23.28,18.16,50.69,https://domclick.ru/card/sale__flat__2064729793
"микрорайон Эдальго, 5",55.572045,37.486467,118018.0,9647.0,12.56,24.64,33.47,17.06,8.44,3.82,51.45,48.55,31.07,20.76,41.85,https://domclick.ru/card/sale__flat__2064775489
"Саларьевская улица, 14 к3 / Киевское шоссе 23 километр, 11 к1",55.619315,37.411055,136888.0,14318.0,18.54,28.02,28.3,15.31,6.69,3.15,50.45,49.55,29.71,15.47,42.86,https://domclick.ru/card/sale__flat__2064914275
"Филёвский бульвар, 7 к1",55.765215,37.488628,112836.0,9999.0,15.69,22.36,28.18,19.65,9.32,4.8,59.83,40.17,23.13,19.29,46.59,https://domclick.ru/card/sale__flat__2064924058
"улица Авиаторов, 1",55.645696,37.390686,130004.0,8047.0,13.49,21.21,30.36,19.66,10.71,4.57,47.42,52.58,30.49,23.7,41.88,https://domclick.ru/card/sale__flat__2065042837
"Волоколамское шоссе, 71/8 к1",55.818837,37.429007,183352.0,13986.0,8.1,24.86,38.7,16.76,8.34,3.24,56.11,43.89,33.93,21.62,48.1,https://domclick.ru/card/sale__flat__2065098705
"Шелепихинская набережная, 42 к2",55.767502,37.500329,103864.0,,20.9,35.82,22.39,19.4,1.49,,55.22,44.78,20.9,16.42,46.27,https://domclick.ru/card/sale__flat__2065153655
"3-я Гражданская улица, 21",55.812453,37.707759,100095.0,9887.0,12.15,19.97,29.81,20.62,11.35,6.1,51.67,48.33,26.62,18.15,39.34,https://domclick.ru/card/sale__flat__2065364888
"улица Авиаторов, 11 к1",55.6392,37.409116,122153.0,9235.0,13.86,25.25,35.64,14.36,8.91,1.98,56.44,43.56,35.89,30.69,52.23,https://domclick.ru/card/sale__flat__2065391813
"Зеленоград, к929",55.981952,37.182744,110234.0,10043.0,14.87,20.66,28.19,20.1,11.35,4.83,52.82,47.18,33.28,26.93,48.14,https://domclick.ru/card/sale__flat__2065408816
"Ленинградское шоссе, 228 к5",55.931863,37.386645,111763.0,10087.0,12.5,29.5,33.33,14.0,7.83,2.83,52.5,47.5,32.33,15.0,39.5,https://domclick.ru/card/sale__flat__2065431822
"улица Маршала Тухачевского, 37/21 / бульвар Генерала Карбышева, 21",55.784056,37.471043,130243.0,9466.0,8.94,19.64,31.96,21.11,11.7,6.65,50.49,49.51,31.93,24.82,45.52,https://domclick.ru/card/sale__flat__2065473726
"Школьная улица, 15",55.520991,37.21134,186193.0,5482.0,2.22,17.78,28.89,28.89,13.33,8.89,77.78,22.22,26.67,31.11,93.33,https://domclick.ru/card/sale__flat__2065481862
"улица Лобачевского, 120 к1",55.696321,37.469801,131482.0,14426.0,24.09,25.33,27.95,14.68,5.84,2.1,59.94,40.06,22.18,16.34,38.03,https://domclick.ru/card/sale__flat__2065532370
"улица Академика Челомея, 1а",55.664009,37.539635,184710.0,11486.0,10.94,19.06,38.47,20.59,7.29,3.65,54.47,45.53,41.76,24.24,60.94,https://domclick.ru/card/sale__flat__2065585606
"Стрелецкая улица, 10",55.795873,37.603688,121057.0,10897.0,12.93,21.07,30.05,20.37,10.89,4.7,55.61,44.39,24.06,20.74,43.68,https://domclick.ru/card/sale__flat__2065595908
"улица Коминтерна, 15",55.869882,37.687475,117603.0,10785.0,11.49,20.54,31.22,20.37,11.25,5.14,48.0,52.0,33.86,23.36,46.32,https://domclick.ru/card/sale__flat__2065702630
"Каширское шоссе, 11 к3",55.667552,37.630945,87590.0,9916.0,19.21,24.82,27.19,16.98,8.8,3.01,64.48,35.52,18.57,11.03,32.9,https://domclick.ru/card/sale__flat__2065750825
"Магнитогорская улица, 25",55.776944,37.83324,109886.0,11948.0,11.71,29.54,32.72,17.51,5.93,2.59,71.17,28.83,31.03,20.07,74.68,https://domclick.ru/card/sale__flat__2065855170
"Шелепихинская набережная, 42 к3",55.768046,37.499659,150880.0,12457.0,20.8,29.45,31.61,13.64,2.5,2.0,62.06,37.94,23.96,23.13,54.41,https://domclick.ru/card/sale__flat__2065907179
"1-я Ватутинская улица, 12 к2",55.50426,37.32262,117567.0,9352.0,11.17,21.34,30.41,19.44,13.16,4.49,49.65,50.35,33.3,22.53,54.44,https://domclick.ru/card/sale__flat__2065986391
"улица Александры Монаховой, 90к3",55.5432,37.481496,119378.0,13052.0,14.02,26.57,33.94,14.82,7.3,3.35,53.14,46.86,33.85,20.69,42.99,https://domclick.ru/card/sale__flat__2066188720
"улица Тихомирова, 1",55.883621,37.645811,105614.0,9737.0,7.48,19.69,26.41,22.6,15.73,8.09,36.49,63.51,32.06,27.02,34.66,https://domclick.ru/card/sale__flat__2066266906
"улица Новаторов, 36 к5",55.66319,37.520393,157842.0,11758.0,9.13,16.87,28.34,24.18,11.61,9.86,44.05,55.95,36.52,24.4,45.51,https://domclick.ru/card/sale__flat__2066410112
"Кременчугская улица, 7 к2",55.721855,37.463473,131494.0,10742.0,14.38,20.65,29.02,20.78,10.33,4.84,46.01,53.99,32.55,20.78,43.01,https://domclick.ru/card/sale__flat__2066496431
"Загорьевский проезд, 7 к1",55.574906,37.66514,86407.0,9148.0,10.45,16.65,30.02,24.25,12.27,6.36,58.66,41.34,25.2,20.96,42.66,https://domclick.ru/card/sale__flat__2066552353
"улица Черняховского, 19",55.80888,37.538316,125215.0,13367.0,20.4,19.8,24.48,19.45,10.92,4.94,54.34,45.66,23.99,18.99,43.76,https://domclick.ru/card/sale__flat__2066590327
"Перовская улица, 35",55.746538,37.777328,100428.0,10252.0,14.37,24.06,29.41,17.0,10.29,4.87,58.11,41.89,23.77,19.12,39.75,https://domclick.ru/card/sale__flat__2066614238
"Воротниковский переулок, 2/11 / Дегтярный переулок, 11",55.769025,37.603193,174364.0,12447.0,9.84,22.5,32.39,20.35,10.03,4.89,44.78,55.22,28.89,24.98,43.54,https://domclick.ru/card/sale__flat__2066728727
"3-я Филёвская улица, 6 к2",55.738597,37.50083,154491.0,10117.0,6.49,20.78,40.26,14.29,7.79,10.39,19.48,80.52,41.56,33.77,41.56,https://domclick.ru/card/sale__flat__2066736924
"улица Академика Королёва, 21",55.818891,37.602658,115649.0,10148.0,15.38,23.08,41.03,17.95,2.56,,33.33,66.67,23.08,20.51,28.21,https://domclick.ru/card/sale__flat__2066754993
"Куприна проспект, 7 к1",55.542307,37.47668,152447.0,11647.0,11.2,30.29,40.66,14.52,2.49,0.83,69.29,30.71,30.29,29.05,52.7,https://domclick.ru/card/sale__flat__2066764051
"Севастопольский проспект, 18",55.683138,37.598169,107454.0,9934.0,13.37,21.29,28.79,18.5,11.83,6.22,54.63,45.37,25.59,19.81,42.8,https://domclick.ru/card/sale__flat__2066793092
"Электролитный проезд, 16 к1",55.672543,37.61165,132570.0,12104.0,12.23,23.73,32.6,19.91,9.12,2.4,65.49,34.51,27.76,21.71,68.67,https://domclick.ru/card/sale__flat__2066807241
"Кутузовский проспект, 2/1 к1Б",55.751579,37.564203,280040.0,21121.0,11.87,29.1,32.58,16.42,7.32,2.72,62.58,37.42,29.69,19.35,64.44,https://domclick.ru/card/sale__flat__2066807338
"Волгоградский проспект, 86 к2",55.703376,37.768526,98188.0,11038.0,16.89,24.39,25.52,17.5,10.73,4.97,51.5,48.5,21.75,17.36,27.93,https://domclick.ru/card/sale__flat__2066808327
"Песчаный переулок, 4",55.800317,37.509676,206646.0,16055.0,10.71,23.04,31.38,20.11,9.75,5.0,56.75,43.25,26.83,25.97,58.97,https://domclick.ru/card/sale__flat__2066817813
"улица Архитектора Власова, 71 к2",55.658981,37.530841,125159.0,14426.0,16.33,26.62,35.06,18.18,3.06,0.74,73.75,26.25,23.19,13.54,43.23,https://domclick.ru/card/sale__flat__2066833664
"Волоколамское шоссе, 95/2",55.830824,37.39999,115934.0,9969.0,19.06,28.42,33.55,13.36,4.4,1.22,79.15,20.85,19.3,12.38,34.61,https://domclick.ru/card/sale__flat__2066841729
"Севастопольский проспект, 51",55.666661,37.584923,106568.0,9504.0,11.42,22.0,27.75,22.67,10.5,5.67,52.33,47.67,26.58,20.83,38.0,https://domclick.ru/card/sale__flat__2066852015
"Сельскохозяйственная улица, 14 к1",55.835423,37.64485,171680.0,11118.0,9.92,29.77,29.01,15.27,9.92,6.11,41.22,58.78,28.24,25.95,48.85,https://domclick.ru/card/sale__flat__2066934512
"улица Крузенштерна, 12 к3",55.750719,37.706651,145422.0,14036.0,14.87,24.76,30.33,18.44,8.34,3.26,61.2,38.8,24.71,17.21,53.41,https://domclick.ru/card/sale__flat__2066953157
"Балтийская улица, 15 / Ленинградский проспект, 80 к66",55.811213,37.514842,118201.0,11059.0,30.81,28.8,25.6,10.56,3.33,0.9,56.54,43.46,24.44,20.85,41.92,https://domclick.ru/card/sale__flat__2066959300
"2-я Хуторская улица, 34",55.806079,37.571099,100020.0,10061.0,18.43,26.32,27.29,17.15,7.67,3.13,63.01,36.99,18.74,18.74,32.32,https://domclick.ru/card/sale__flat__2066969257
