lat,lon,price_per_m2,levels,ads_count
55.211897,37.07172,723.8095238095239,5,1
55.215667,37.067417,588.8888888888889,4,1
55.310263,37.192508,653.9833531510108,5,1
55.314233,37.18409,975.609756097561,15,1
55.315965,37.177901,818.1818181818181,4,1
55.325518,37.34753,875.0,5,1
55.33702,37.325243,510.2040816326531,5,1
55.397209,37.311265,806.4516129032259,2,1
55.409717,37.186866,1052.6315789473683,5,1
55.419146,37.404133,900.9009009009009,9,1
55.419156,37.407519,1033.8624338624338,9,3
55.419166,37.410915,833.3333333333334,9,1
55.420316,37.411777,961.5384615384615,10,1
55.421506,36.866186,1000.0,5,1
55.42567,36.931888,857.1428571428571,3,1
55.430998,36.865036,930.2325581395348,16,1
55.431335,36.865826,1022.2222222222222,16,1
55.432137,36.871342,1416.6666666666667,5,1
55.433639,37.324883,1076.923076923077,4,1
55.448393,37.245634,1052.6315789473683,3,1
55.453192,37.282483,1500.0,6,1
55.464947,37.284495,750.0,8,1
55.465305,36.945318,1328.9036544850499,5,1
55.466152,37.544845,795.4545454545455,16,1
55.466351,37.289319,978.2608695652174,7,1
55.466387,37.542788,933.0213008898339,17,3
55.466427,37.542527,800.0,12,1
55.466769,36.938832,930.8510638297872,4,1
55.467198,37.289238,975.6410256410256,6,2
55.467489,37.544755,1091.703056768559,14,1
55.46853,37.544818,852.0179372197309,14,1
55.470066,37.543165,948.4536082474227,14,1
55.470729,37.544593,999.3345164152618,12,2
55.470877,37.542635,705.8823529411765,10,1
55.471536,37.295688,1081.081081081081,17,1
55.473322,37.529439,1378.0593458956032,12,2
55.473704,37.530678,1035.7815442561205,15,1
55.47372,37.531631,1762.114537444934,15,1
55.473791,37.526825,1168.0555555555557,14,2
55.474016,37.303629,956.5217391304348,5,1
55.474163,37.544396,1121.0762331838564,5,1
55.474306,37.531963,1456.4289439322283,10,4
55.474444,37.293523,851.6483516483516,17,1
55.474648,37.525872,1297.5567463824918,12,7
55.474965,37.531963,1470.5882352941176,15,1
55.475118,37.53323,1286.796099331837,12,5
55.475613,37.524013,1422.844468854846,14,3
55.476041,37.525477,1324.6753246753246,14,2
55.476296,37.530346,1200.0,13,1
55.476771,37.527426,1083.5390946502057,11,2
55.477077,37.526537,1272.6315789473683,16,5
55.477332,37.528361,1216.6064547206167,13,3
55.478475,37.297062,854.8387096774194,17,1
55.480597,37.29929,965.5172413793103,12,1
55.481087,37.300117,1000.0,16,1
55.48126,37.387217,1250.0,4,1
55.482265,37.498824,698.314137007966,12,3
55.484551,37.305004,934.0146634081316,16,2
55.485219,36.917102,1142.857142857143,3,1
55.485698,37.308202,871.9862227324913,17,2
55.486744,36.91968,925.0,3,1
55.486821,36.914838,818.1818181818181,3,1
55.486841,37.303485,977.7777777777778,9,1
55.486974,37.298104,1076.923076923077,12,1
55.487015,37.297296,1135.1351351351352,25,1
55.487734,37.335358,769.2307692307693,16,1
55.488101,37.334307,877.5510204081633,14,1
55.488259,37.295445,941.1764705882352,12,1
55.488412,37.332645,857.1428571428571,14,1
55.488621,37.338017,800.0,14,1
55.488626,37.33613,860.5851979345955,15,1
55.488652,37.29885,1142.857142857143,12,1
55.489009,37.335124,894.7368421052631,14,2
55.489065,37.295706,1058.2010582010582,9,1
55.489075,37.299407,1076.923076923077,12,1
55.490554,37.312972,869.1588785046729,4,1
55.490616,37.334765,1219.5121951219512,15,1
55.490784,37.309836,1162.162162162162,17,1
55.49111,37.307213,944.4444444444445,17,1
55.491263,37.555032,930.2325581395348,18,1
55.491936,37.555247,1119.047619047619,14,1
55.491942,37.299524,828.5714285714286,16,1
55.492217,37.314822,976.2931034482758,17,2
55.492482,37.299021,929.6482412060302,17,1
55.492605,37.319475,985.2060100357533,19,5
55.492926,37.300386,909.0909090909091,16,1
55.49312,37.554169,957.4468085106383,18,1
55.493227,37.316888,1309.5238095238096,19,1
55.493232,37.299515,1076.923076923077,17,2
55.493436,37.318415,1073.2142857142858,17,2
55.493502,37.551564,975.609756097561,21,1
55.49414,37.552031,850.5900492201863,21,3
55.494221,37.300242,1000.0,17,1
