lat,lon,price_per_m2,building_type,object_type,levels,ads_count
55.211456,37.071235,151093.64319890636,0,1,5,2
55.212283,37.07216,113981.76291793314,1,1,5,1
55.213315,37.076095,107657.23270440252,0,1,2,1
55.214039,37.071513,110294.11764705883,3,1,5,1
55.21427,37.067543,131608.43284682292,3,1,4,2
55.214512,37.068073,121130.55181695828,3,1,4,1
55.214892,37.06863,164622.64150943398,3,1,4,2
55.215559,37.068226,143836.69609079446,3,1,4,2
55.215667,37.067417,175357.14285714284,3,1,4,5
55.308654,37.183713,172686.230248307,1,1,5,1
55.309699,37.191627,64386.31790744467,1,1,5,1
55.310263,37.192508,169500.0,1,1,5,1
55.313537,37.17597,152103.55987055018,1,1,5,1
55.314407,37.176553,225913.62126245847,1,1,5,1
55.31513,37.182815,199692.78033794166,1,1,5,1
55.315898,37.175996,206896.55172413794,1,1,5,1
55.317077,37.17968,154545.45454545456,1,1,5,1
55.317527,37.158443,188063.06306306308,1,1,5,1
55.317809,37.161588,160818.7134502924,1,1,5,1
55.318291,37.160375,223181.81818181818,4,1,5,1
55.324566,37.346667,146892.65536723164,1,1,5,1
55.325078,37.34444,151448.3839429244,3,1,5,2
55.325518,37.34753,181447.13733754828,1,1,5,2
55.325544,37.346703,171877.41935483873,1,1,5,2
55.326235,37.344467,160771.7041800643,0,1,5,1
55.326952,37.344916,178523.4899328859,1,1,5,1
55.33554,37.327255,91836.73469387754,2,1,5,1
55.33554,37.327282,98035.95531993975,0,1,5,2
55.336165,37.325827,134018.48442940303,0,1,5,4
55.336887,37.323096,82770.27027027027,0,1,5,1
55.336913,37.323096,78677.13004484304,0,1,5,1
55.337481,37.32624,60727.26543802739,1,1,5,2
55.337921,37.323087,95136.97380318574,0,1,5,4
55.338121,37.326599,114891.07984435087,0,1,5,2
55.359942,37.403809,133928.57142857142,1,1,5,1
55.360085,37.404663,141552.51141552514,1,1,5,1
55.37347,37.37748,197215.77726218096,1,1,5,1
55.37437,37.379887,177514.7928994083,1,1,5,1
55.380708,37.419512,144694.53376205786,3,1,2,1
55.397582,37.139705,187032.41895261843,3,1,5,1
55.410561,37.183713,180537.7720870679,2,1,14,2
55.410632,37.094492,146484.375,3,1,2,1
55.410944,37.183138,256776.03423680458,3,1,5,1
55.411373,37.182725,166931.6375198728,1,1,5,1
55.411879,37.182545,188888.88888888888,1,1,5,1
55.418436,37.407959,180084.74576271186,1,1,4,1
55.418497,37.151221,165165.16516516518,3,1,3,1
55.419156,37.407519,187127.97619047618,3,1,9,2
55.419166,37.410915,177882.19337337726,3,1,9,2
55.42192,36.865548,158441.55844155845,1,1,5,1
55.42567,36.931888,188732.39436619717,0,1,3,1
55.42755,36.86738,186813.18681318683,1,1,5,1
