address,lat,lon,year,total_apartments,inhab_count,under_24_num,between_25_34_num,between_35_44_num,between_45_54_num,between_55_64_num,over_65_num,men_num,women_num,with_children_num,with_pets_num,with_car_num,median_income_pop,avg_hcs_cost_pop
"Россия, Москва, пос. Первомайское, Центральная улица, 28",55.537094,37.157626,2011.0,4.0,8.0,0.5592,1.5232,2.6872,1.752,1.0728,0.4048,4.8672,3.1328,2.2312,1.632,5.0328,956376.0,83864.0
"Россия, Москва, Большая Никитская улица, 45",55.757531,37.590632,1897.0,12.0,25.0,3.8075,6.2075,6.67,4.78,2.3775,1.1575,13.3425,11.6575,5.675,4.5475,10.485,3704025.0,361825.0
"Россия, Москва, Серпуховский Вал улица, 17 к1",55.710819,37.613207,1937.0,14.0,29.0,3.7642,6.881699999999999,8.2476,5.913100000000001,2.7579,1.4413,17.9829,11.0171,6.235,6.881699999999999,14.2564,5095532.0,371084.0
"Россия, Москва, Большая Почтовая улица, 28",55.779597,37.699306,2021.0,18.0,38.0,7.535399999999999,10.7578,10.7426,5.909,2.2952,0.76,27.9034,10.0966,8.113000000000001,6.137,25.6006,4379994.0,465006.0
"Россия, Москва, Казарменный переулок, 3 ст6",55.757274,37.650737,2004.0,19.0,40.0,6.092000000000001,8.38,10.916,7.94,4.192,2.48,22.824,17.176,8.82,8.38,16.596,5394320.0,550960.0
"Россия, Москва, Комсомольский проспект, 7 ст1",55.730969,37.592208,1917.0,19.0,40.0,5.404,6.972,9.351999999999999,8.8,5.832000000000001,3.64,20.272,19.728,9.488,8.228,16.04,5017120.0,472640.0
"Россия, Москва, улица Генерала Донскова, 10",55.493178,36.918465,2018.0,20.0,42.0,4.4562,8.2488,13.797,8.337,4.426799999999999,2.73,22.6254,19.3746,12.39,8.2488,24.4944,4260858.0,254268.0
"Россия, Москва, улица Фадеева, 5",55.774725,37.598052,1917.0,20.0,42.0,6.4596,8.085,11.7726,8.085,4.8552,2.7468,19.8324,22.1676,10.7184,9.3912,16.5564,5862864.0,498414.0
"Россия, Москва, Большая Никитская улица, 17 ст1",55.756812,37.602388,1887.0,20.0,42.0,6.119400000000001,11.6592,10.2438,6.741000000000001,4.5822,2.6544,17.661,24.339,9.8658,9.8406,18.48,8197308.0,598542.0
"Россия, Москва, д. Рогозинино, Луговая улица, 20в к4",55.538976,37.185099,2019.0,20.0,42.0,1.134,5.6742,15.8928,10.2144,6.8124,2.2722,17.0268,24.9732,23.8392,7.946400000000001,35.1876,9689526.0,1062054.0
